Release Date,Filming Locations,original_index,unique_index
17 November 1972 (USA),"Columbia Pictures Ranch - 411 N. Hollywood Way, Burbank, California, USA",5673,5546
7 February 1969 (Brazil),"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",5674,5547
28 March 1964 (USA),"Weeki Wachee, Florida, USA",5675,5548
30 July 1993 (USA),,5676,5549
4 April 1947 (USA),"Gilmore Stadium, Los Angeles, California, USA",5677,5550
8 October 1947 (USA),"Vasquez Rocks, Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA",5678,5551
12 February 2015 (Brazil),"Baton Rouge, Louisiana, USA",5679,5552
1955 (UK),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",5680,5553
14 August 1953 (France),"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",5681,5554
"May 19, 1960 Wide","Southern Pacific Railroad Station, St Helena, California, USA",5682,5555
22 May 2015 (USA),"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",5683,5556
February 1950 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",5684,5557
26 January 1951 (USA),"Alabama Hills, Lone Pine, California, USA",5685,5558
11 April 1939 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",5686,5559
16 June 1939 (USA),"Backlot, Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",5687,5560
13 September 2013 (USA),"Los Angeles, California, USA",5688,5561
24 October 1997 (USA),"Cottingley, West Yorkshire, England, UK",5689,5562
5 December 2005 (Hungary),"Coconut Creek, Florida, USA",5690,5563
25 June 1994 (USA),"Los Angeles, California, USA",5691,5564
21 June 1974 (USA),"Tahlequah, Oklahoma, USA",5692,5565
3 October 2014 (USA),"Langham Apartments - 715 South Normandie Avenue, Los Angeles, California, USA",5693,5566
15 December 1989 (USA),"Nevada, USA",5694,5567
3 June 1988 (USA),"The Apthorp building - 2211 Broadway, New York City, New York, USA",5695,5568
15 August 1986 (USA),"6312 Hollywood Boulevard - Los Angeles, California, USA",5696,5569
9 August 1985 (USA),"18220 Sunset Boulevard, Redington Shores, Florida, USA",5697,5570
26 January 2015 (Netherlands),"California, USA",5698,5571
3 February 1989 (USA),"Hollywood Freeway, Hollywood, Los Angeles, California, USA",5699,5572
"Jul 1, 2015 Limited",,5700,5573
26 March 2010 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",5701,5574
13 March 2015 (USA),"New York City, New York, USA",5702,5575
30 January 2015 (USA),"Atlanta, Georgia, USA",5703,5576
6 March 2015 (USA),"Berlin, Germany",5704,5577
25 April 2014 (USA),"New York City, New York, USA",5705,5578
2 October 1998 (USA),"Beverly Hills, California, USA",5706,5579
7 November 2014 (USA),"Okotoks, Alberta, Canada",5707,5580
January 2005 (USA),"Los Angeles, California, USA",5708,5581
,,5709,48
2 December 1988 (USA),"Manhattan Beach, California, USA",5710,5582
11 December 2008 (Germany),"Baton Rouge, Louisiana, USA",5711,5583
25 August 1993 (USA),"Bath, Maine, USA",5712,5584
17 July 2010 (USA),"San Francisco, California, USA",5713,5585
10 August 1990 (USA),"Santa Ventura Studios - 5301 North Ventura Avenue, Ventura, California, USA",5714,5586
11 February 2014 (USA),"New Jersey, USA",5715,5587
16 December 1987 (USA),"Newport, Oregon, USA",5716,5588
17 June 1994 (USA),"Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA",5717,5589
15 March 2012 (Israel),"Brownsville, Texas, USA",5718,5590
25 May 1988 (USA),"Yuma Territorial Prison State Park - 206 N. Fourth Avenue, Yuma, Arizona, USA",5719,5591
21 July 2014 (USA),"Oberlin, Ohio, USA",5720,5592
18 August 1993 (USA),"201 West 72nd Street, Manhattan, New York City, New York, USA",5721,5593
12 December 1997 (USA),"Tuxedo, New York, USA",5722,5594
17 September 1976 (USA),"New York City, New York, USA",5723,5595
11 January 1996 (USA),"5th Avenue, Manhattan, New York City, New York, USA",5724,5596
14 March 1986 (USA),"5th Avenue, Manhattan, New York City, New York, USA",5725,5597
18 September 1992 (USA),"4651 Fieldston Road, Riverdale, Bronx, New York City, New York, USA",5726,5598
28 March 2014 (USA),"Görlitz, Saxony, Germany",5727,5599
21 February 1996 (USA),"Hinckley Cold Storage, 4008 Commerce Sreet,. Dallas, Texas, USA",5728,5600
26 October 2007 (USA),India,5729,5601
30 January 2009 (USA),Germany,5730,5602
8 January 2010 (USA),"Meadow Brook Hall, Rochester, Michigan, USA",5731,5603
25 February 1952 (Norway),"Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany",5732,5604
4 April 1952 (USA),"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",5733,5605
13 March 1957 (USA),"Tobago, Trinidad and Tobago",5734,5606
11 April 2014 (USA),Indonesia,5735,5607
20 February 1953 (USA),"MGM British Studios, Borehamwood, Hertfordshire, England, UK",5736,5608
19 January 1934 (USA),,5737,5609
February 1944 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",5738,5610
27 June 1956 (USA),"Associated British Elstree Studios, Shenley Road, Borehamwood, Hertfordshire, England, UK",5739,5611
9 May 1952 (Finland),,5740,5612
14 June 1985 (USA),"3 Pierrepont Place, Brooklyn Heights, Brooklyn, New York City, New York, USA",5741,5613
18 January 2008 (USA),"7 Barlby Road, Kensington, London, England, UK",5742,5614
22 October 2010 (USA),"Albion Riverside, Battersea, London, England, UK",5743,5615
12 November 2003 (USA),"Mt. Desert Island, Maine, USA",5744,5616
19 May 2000 (USA),"Doyers Street, Manhattan, New York City, New York, USA",5745,5617
8 April 2005 (USA),"Central Park, Manhattan, New York City, New York, USA",5746,5618
"May 3, 2002 Wide","Central Park, Manhattan, New York City, New York, USA",5747,5619
15 August 2014 (USA),"Côte d'Azur, France",5748,5620
24 August 2001 (USA),"Los Angeles, California, USA",5749,5621
19 September 2003 (USA),"50 Commerce St, Greenwich Village, Manhattan, New York City, New York, USA",5750,5622
8 October 1977 (Sweden),,5751,5623
16 July 2010 (USA),"Branson, Missouri, USA",5752,5624
10 October 2008 (USA),"Bath, Somerset, England, UK",5753,5625
26 January 1996 (USA),"Berry Pomeroy Church, Berry Pomeroy, Devon, England, UK",5754,5626
19 August 2011 (USA),"Dinan, Côtes-d'Armor, France",5755,5627
29 February 2008 (USA),"Bath, Somerset, England, UK",5756,5628
22 April 2011 (USA),"Broughton Castle, Banbury, Oxfordshire, England, UK",5757,5629
23 November 2005 (USA),"Basildon Park, Lower Basildon, Berkshire, England, UK",5758,5630
8 January 2010 (USA),"Arundel Castle, Arundel, West Sussex, England, UK",5759,5631
5 February 2010 (USA),"Bloomsbury Service Station - 6 Store Street, Bloomsbury, London, England, UK",5760,5632
15 October 2010 (USA),"Chiswick Town Hall, Heathfield Terrace, Chiswick, London, England, UK",5761,5633
9 December 2011 (USA),"Lihue Airport - 3901 Mokulele Loop, Lihue, Kaua'i, Hawaii, USA",5762,5634
19 January 2007 (USA),"California, USA",5763,5635
7 October 1994 (USA),"Bronx, New York City, New York, USA",5764,5636
7 February 1986 (USA),"Mentryville, California, USA",5765,5637
26 November 2008 (USA),Hungary,5766,5638
27 November 2013 (USA),"Berlin, Germany",5767,5639
July 1960 (USA),"Columbia Pictures Ranch - 411 N. Hollywood Way, Burbank, California, USA",5768,5640
21 September 2012 (USA),"Oakland, California, USA",5769,5641
"Dec 17, 1999 Wide","Angelus Oaks, California, USA",5770,5642
20 October 2006 (USA),"Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",5771,5643
16 January 2009 (USA),Lithuania,5772,5644
5 March 2004 (USA),"Los Angeles, California, USA",5773,5645
25 February 2000 (USA),"Pittsburgh International Airport, Pittsburgh, Pennsylvania, USA",5774,5646
23 October 1998 (USA),"Petaluma, California, USA",5775,5647
1 August 1973 (USA),"American Zoetrope Studios, San Francisco, California, USA",5776,5648
22 December 1989 (USA),"Bull Lake, Montana, USA",5777,5649
17 December 1953 (Italy),"Shepperton Studios, Shepperton, Surrey, England, UK",5778,5650
23 January 2009 (USA),"Beacon Falls, Connecticut, USA",5779,5651
14 August 2009 (USA),"New York City, New York, USA",5780,5652
2016 (USA),"Boulder, Colorado, USA",5781,5653
23 November 1994 (USA),"Algonquin Hotel - 59 W. 44th Street, Manhattan, New York City, New York, USA",5782,5654
25 June 2008 (USA),"San Francisco, California, USA",5783,5655
24 June 2005 (USA),"Brampton, Ontario, Canada",5784,5656
19 October 2012 (USA),"Henderson, Nevada, USA",5785,5657
3 January 2014 (USA),"Los Angeles, California, USA",5786,5658
21 October 2011 (USA),USA,5787,5659
22 October 2010 (USA),"Los Angeles, California, USA",5788,5660
30 January 2009 (USA),"Bowen Island, British Columbia, Canada",5789,5661
27 March 2009 (USA),"Teulon, Manitoba, Canada",5790,5662
15 August 2008 (USA),Romania,5791,5663
26 October 2001 (USA),"Surrey, British Columbia, Canada",5792,5664
6 May 2005 (USA),Australia,5793,5665
29 August 2003 (USA),"Long Beach, California, USA",5794,5666
30 May 2008 (USA),"Florence, South Carolina, USA",5795,5667
17 June 2011 (USA),"Las Vegas, Nevada, USA",5796,5668
21 November 2007 (USA),Bulgaria,5797,5669
25 November 2009 (USA),"Berlin, Germany",5798,5670
5 April 1974 (USA),"San Antonio, Texas, USA",5799,5671
"Dec 14, 1979 Wide","Cannon Beach, Oregon, USA",5800,5672
24 September 1999 (USA),"Budapest, Hungary",5801,5673
13 September 2002 (USA),"20770 Madrona Avenue, Torrance, California, USA",5802,5674
15 October 2004 (USA),"Berlin, Germany",5803,5675
24 June 1983 (USA),"Canyon Country, California, USA",5804,5676
29 December 2004 (USA),"Berlin, Germany",5805,5677
24 June 1998 (USA),"County Dublin, Ireland",5806,5678
2 November 2014 (USA),"Medford, Oregon, USA",5807,5679
27 May 2011 (USA),"Kentucky, USA",5808,5680
14 September 2014 (USA),"Oahu, Hawaii, USA",5809,5681
12 April 2014 (USA),,5810,5682
28 April 1995 (USA),"Kirsting Court, Sierra Madre, California, USA",5811,5683
11 November 2011 (USA),"Del Mar Thoroughbred Club - 2260 Jimmy Durante Boulevard, Del Mar, California, USA",5812,5684
19 July 2013 (USA),"Montreal, Québec, Canada",5813,5685
28 June 2013 (USA),"Montréal, Québec, Canada",5814,5686
14 August 2015 (USA),,5815,1540
2 August 2014 (USA),,5816,5687
17 May 2011 (France),"709 Burleson Street, Smithville, Texas, USA",5817,5688
25 May 2012 (USA),"Jaipur, Rajasthan, India",5818,5689
11 March 2014 (Netherlands),,5819,5690
10 October 1975 (USA),,5820,5691
6 December 2013 (USA),"Los Angeles, California, USA",5821,5692
27 May 1977 (USA),,5822,5693
"Mar 15, 1972 Limited",Czech Republic,5823,5694
29 March 1974 (Denmark),"Abaco Island, Bahamas",5824,5695
March 1970 (USA),"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",5825,5696
25 March 1988 (USA),"Fort Chaffee, Arkansas, USA",5826,5697
26 October 1966 (Italy),"1800 Avenue of the Stars, Century City, Los Angeles, California, USA",5827,5698
24 July 1987 (USA),"M25 Motorway, London, England, UK",5828,5699
14 November 1936 (USA),"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",5829,5700
30 April 1993 (USA),"St. Mary's Catholic Church - 400 South Chicago Street, Los Angeles, California, USA",5830,5701
20 October 2005 (USA),"New York City, New York, USA",5831,5702
18 August 2014 (USA),"New York City, New York, USA",5832,5703
4 July 2012 (USA),,5833,5704
20 August 2002 (USA),"Manayunk, Philadelphia, Pennsylvania, USA",5834,5705
24 April 2015 (USA),"Coquitlam, British Columbia, Canada",5835,5706
May 2007 (USA),"New York City, New York, USA",5836,5707
16 August 2012 (Israel),"Kerhonkson, New York, USA",5837,5708
3 April 2014 (Singapore),"PFI Studios, Belgrade, Serbia",5838,5709
3 March 2011 (Israel),"New York City, New York, USA",5839,5710
22 March 2013 (USA),"Ringling College of Art and Design, Sarasota, Florida, USA",5840,5711
21 June 2013 (USA),"Los Angeles, California, USA",5841,5712
19 September 2013 (Croatia),"New York City, New York, USA",5842,5713
31 July 2015 (USA),"Cleveland, Ohio, USA",5843,5714
14 March 2011 (Portugal),"1690 Altadena Drive, Altadena, California, USA",5844,5715
2010 (USA),"Los Angeles, California, USA",5845,2896
21 August 2015 (USA),"Los Angeles, California, USA",5846,5716
"Apr 26, 2013 Limited","Portland, Maine, USA",5847,5717
16 March 2012 (USA),"New York City, New York, USA",5848,5718
23 August 2013 (UK),"Cleveland, Ohio, USA",5849,5719
22 February 2008 (USA),"Oshawa, Ontario, Canada",5850,5720
26 July 2013 (USA),"Marshfield, Massachusetts, USA",5851,5721
8 August 2014 (USA),"Ojai, California, USA",5852,5722
26 July 2013 (USA),"Woodland Hills, Los Angeles, California, USA",5853,5723
22 June 2012 (USA),"Santa Clarita, California, USA",5854,5724
11 May 2012 (UK),USA,5855,5725
29 June 2012 (UK),"Anacortes, Washington, USA",5856,5726
7 August 2015 (USA),,5857,4977
3 April 2009 (USA),"Beaver, Pennsylvania, USA",5858,5727
"Aug 9, 2013 Limited","Los Angeles, California, USA",5859,5728
26 June 2014 (USA),"Chicago, Illinois, USA",5860,5729
3 December 2013 (USA),"Malibu, California, USA",5861,5730
7 June 2013 (USA),,5862,3847
23 December 2009 (USA),"Cheshire Inn, St. Louis, Missouri, USA",5863,5731
7 February 2014 (USA),"Los Angeles, California, USA",5864,5732
9 November 1990 (USA),"Montclair, New Jersey, USA",5865,5733
March 2008 (USA),,5866,5734
24 October 2008 (India),,5867,5735
4 August 2006 (USA),,5868,5736
March 2002 (USA),"Alpine, Texas, USA",5869,5737
5 October 2001 (Canada),"GM Place, Vancouver, British Columbia, Canada",5870,5738
16 October 2009 (USA),"Docklands Studios, Melbourne, Victoria, Australia",5871,5739
October 1985 (USA),,5872,5740
13 March 2015 (USA),,5873,5141
25 January 2015 (USA),,5874,5741
11 January 2014 (Japan),"Kenora, Ontario, Canada",5875,5742
23 April 2004 (USA),,5876,5743
26 June 2015 (USA),"North Hollywood, Los Angeles, California, USA",5877,5744
10 April 2015 (USA),"New York, USA",5878,5745
15 October 2013 (USA),"Ridley Creek State Park - 1023 Sycamore Mills Road, Media, Pennsylvania, USA",5879,5746
22 September 2015 (USA),,5880,5747
4 September 2012 (USA),"New York, USA",5881,5748
24 December 1989 (West Germany),"GG Israel Studios, Jerusalem, Israel",5882,5749
2 July 2011 (USA),"California, USA",5883,5750
24 April 1998 (USA),South Africa,5884,5751
April 1987 (USA),Israel,5885,5752
August 1978 (USA),"Batchawana Bay, Ontario, Canada",5886,5753
8 December 1962 (USA),,5887,5754
February 1982 (USA),,5888,5755
,"Montréal, Québec, Canada",5889,5756
15 December 1995 (Canada),"Los Angeles, California, USA",5890,5757
15 October 1996 (USA),Romania,5891,5758
24 September 1993 (Brazil),"Hanford, California, USA",5892,5759
13 August 1996 (USA),"Bucharest, Romania",5893,5760
27 July 1994 (USA),"Haddon Hall, Bakewell, Derbyshire, England, UK",5894,5761
,,5895,48
9 October 2003 (USA),"Austin, Texas, USA",5896,5762
October 2005 (USA),"Indianapolis, Indiana, USA",5897,5763
31 October 1969 (USA),"F&B; Ceco Studios, North Miami, Florida, USA",5898,5764
26 April 2013 (UK),"Langley, British Columbia, Canada",5899,5765
14 August 2015 (USA),"Los Angeles County, California, USA",5900,5766
September 2001 (USA),"Santa Clarita, California, USA",5901,5767
15 April 1983 (USA),"New York City, New York, USA",5902,5768
,,5903,48
31 March 1934 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5904,525
,,5905,48
6 March 2008 (USA),,5906,5769
1 December 1989 (USA),"Fullerton, California, USA",5907,5770
29 November 2013 (USA),"Los Angeles, California, USA",5908,5771
9 March 2007 (USA),"Charlotte, North Carolina, USA",5909,5772
1 August 2013 (USA),,5910,5773
4 April 2014 (USA),"New York City, New York, USA",5911,5774
24 December 2011 (USA),"Seward, Alaska, USA",5912,5775
23 November 2013 (USA),,5913,5776
23 September 1994 (USA),"3159 W. 11th Street, Cleveland, Ohio, USA",5914,5777
6 September 1996 (USA),"Atlantic City, New Jersey, USA",5915,5778
26 July 2002 (USA),"Franklin, Tennessee, USA",5916,5779
21 August 2015 (USA),"243 E Holt Ave Pomona, California, USA",5917,5780
20 June 1973 (USA),"Kanab Movie Fort, Kanab, Utah, USA",5918,5781
21 March 1975 (USA),"Big Sur, California, USA",5919,5782
16 December 1977 (USA),"Compton Wynyates, Warwickshire, England, UK",5920,5783
9 November 2001 (USA),"Manchester, New Hampshire, USA",5921,5784
11 October 1996 (USA),"Chicago, Illinois, USA",5922,5785
28 February 1992 (USA),"Brighton, East Sussex, England, UK",5923,5786
7 April 2015 (USA),"Los Angeles, California, USA",5924,5787
27 September 1996 (USA),"Lower Bay Station, Toronto, Ontario, Canada",5925,5788
15 March 1991 (USA),"Bix Restaurant - 56 Gold Street, San Francisco, California, USA",5926,5789
5 April 2007 (Germany),"Nu Boyana Film Studios, Sofia, Bulgaria",5927,5790
16 October 2010 (USA),"Los Angeles, California, USA",5928,5791
2 November 2001 (USA),"Hampstead, North Carolina, USA",5929,5792
17 February 2006 (USA),"New York City, New York, USA",5930,5793
18 January 2008 (Finland),"Bossier City, Louisiana, USA",5931,5794
7 October 1988 (USA),Zaire,5932,5795
23 March 2001 (USA),"The Breakers Resort, Palm Beach, Florida, USA",5933,5796
26 September 1997 (USA),"Cremosne, Slovakia",5934,5797
2011 (USA),"Los Angeles, California, USA",5935,45
11 September 2015 (USA),"Vancouver, British Columbia, Canada",5936,5798
19 February 1993 (USA),"Acton, California, USA",5937,5799
15 March 2015 (USA),"Mount Vision, New York, USA",5938,5800
17 May 2014 (USA),,5939,5801
,"Jacksonville, Florida, USA",5940,5802
26 June 2015 (USA),"Minnesota, USA",5941,5803
15 June 2014 (USA),"Exeter, Rhode Island, USA",5942,5804
6 October 2014 (USA),"Baton Rouge, Louisiana, USA",5943,5805
4 March 2015 (Philippines),"Jefferson City, Missouri, USA",5944,5806
31 October 2008 (USA),"Los Angeles, California, USA",5945,5807
22 March 1995 (USA),"Los Angeles, California, USA",5946,5808
,"Los Angeles, California, USA",5947,188
27 September 1993 (USA),,5948,5809
27 April 1975 (USA),"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",5949,5810
23 October 2014 (USA),,5950,5811
20 February 1961 (Denmark),"Saga Studio, Copenhagen, Denmark",5951,5812
18 December 1992 (USA),"Los Angeles, California, USA",5952,5813
7 July 2000 (USA),"104 Fremont Place, Los Angeles, California, USA",5953,5814
10 September 1999 (USA),"Santa Clarita, California, USA",5954,5815
,,5955,48
,,5956,48
31 August 1984 (USA),"Jersey City, New Jersey, USA",5957,5816
5 May 1995 (USA),"American Embassy - 2 Avenue Gabriel, Paris 8, Paris, France",5958,5817
29 May 1998 (USA),"201 E. Eighth St. Smithville, Texas USA",5959,5818
3 March 2000 (USA),"Santa Clarita, California, USA",5960,5819
23 March 2001 (USA),"Greater Vancouver Regional District Demonstration Forest, North Vancouver, British Columbia, Canada",5961,5820
15 May 2003 (Australia),"New York City, New York, USA",5962,5821
9 May 2003 (UK),"Fort Langley Community Hall, Fort Langley, Langley Township, British Columbia, Canada",5963,5822
27 February 1998 (USA),"Chicago, Illinois, USA",5964,5823
30 November 2001 (USA),"New York, USA",5965,5824
3 August 2001 (Portugal),"New York City, New York, USA",5966,5825
20 October 2000 (USA),"St. Vincent Catholic Church - 621 W. Adams Blvd., Los Angeles, California, USA",5967,5826
20 June 2008 (USA),"Air Canada Centre, Toronto, Ontario, Canada",5968,5827
21 June 2002 (UK),"Adelphi Building, John Adam Street, Strand, London, England, UK",5969,5828
16 April 2010 (Mexico),"Chicago, Illinois, USA",5970,5829
22 August 2014 (USA),"New Orleans, Louisiana, USA",5971,1942
25 January 2015 (USA),USA,5972,5830
13 August 1993 (USA),"California, USA",5973,5831
18 April 2013 (Russia),"Salem, Massachusetts, USA",5974,5832
8 March 1964 (USA),"Lazio, Italy",5975,5833
19 October 1990 (USA),"West Middletown Cemetery - 4699 Jefferson Ave, Avella, Pennsylvania, USA",5976,5834
2 October 1996 (USA),,5977,5835
"Sep 8, 2007 Wide","Toronto, Ontario, Canada",5978,5836
8 August 1931 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5979,5837
26 April 2007 (Germany),"Buenos Aires, Federal District, Argentina",5980,5838
23 January 1935 (USA),"Los Angeles, California, USA",5981,5839
February 1936 (USA),"Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5982,5840
20 May 1933 (USA),"Hotel Del Monte, Monterey, California, USA",5983,5841
31 January 2003 (UK),,5984,5842
1 April 1953 (USA),"San Gabriel Mountains, California, USA",5985,5843
19 October 1935 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5986,5844
14 October 2011 (USA),"British Columbia, Canada",5987,5845
4 December 2007 (USA),"British Columbia, Canada",5988,5846
28 October 1932 (USA),"Lake Arrowhead, San Bernardino National Forest, California, USA",5989,5847
March 1947 (USA),"Central Park, Manhattan, New York City, New York, USA",5990,5848
30 April 2010 (USA),"Barrington, Illinois, USA",5991,5849
9 May 1986 (USA),,5992,5850
24 April 1981 (USA),"Boston, Massachusetts, USA",5993,5851
November 2010 (Australia),"Hollywood, Los Angeles, California, USA",5994,5852
2 April 2010 (Italy),"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",5995,5853
7 November 2013 (Qatar),"Honey Island, Louisiana, USA",5996,5854
1 January 1982 (USA),"Fish Cove Inn, Southampton, Long Island, New York, USA",5997,5855
6 June 2000 (USA),,5998,5856
8 February 2008 (USA),"Millerton, New York, USA",5999,5857
10 March 2013 (USA),"Bend, Oregon, USA",6000,5858
31 May 2013 (Mexico),"Mexico City, Distrito Federal, Mexico",6001,5859
"Nov 23, 2005 Wide","Alameda, California, USA",6002,5860
21 July 2007 (Japan),"New York City, New York, USA",6003,5861
11 March 2008 (USA),"Kings Mountain, North Carolina, USA",6004,5862
14 August 2004 (USA),,6005,5863
23 March 1996 (South Korea),,6006,5864
27 April 1979 (USA),"Bellefonte, Pennsylvania, USA",6007,5865
11 April 1986 (USA),"Miami, Florida, USA",6008,5866
15 January 1988 (USA),"Chicago, Illinois, USA",6009,5867
1 December 1977 (West Germany),"San Luis Obispo, California, USA",6010,5868
30 July 2004 (USA),"Centerville, Delaware, USA",6011,5869
17 September 2010 (USA),"Bay Adelaide Centre - 333 Bay St, Toronto, Ontario, Canada",6012,5870
13 June 2008 (USA),"100 W 18th St, New York City, New York, USA",6013,5871
21 July 2006 (USA),"Levittown, Pennsylvania, USA",6014,5872
"May 31, 2013 Wide","Utah, USA",6015,5873
20 January 2013 (USA),,6016,5874
24 April 2011 (USA),,6017,5875
21 April 2010 (USA),,6018,5876
January 2010 (USA),,6019,5877
7 May 2003 (France),,6020,5878
4 March 2011 (UK),,6021,5879
11 July 2013 (Germany),,6022,5880
12 November 2012 (USA),"South Bronx, Bronx, New York City, New York, USA",6023,5881
3 July 2015 (USA),,6024,5431
30 April 1982 (USA),"San Diego, California, USA",6025,5882
18 July 2014 (USA),,6026,1225
20 September 2013 (USA),,6027,5883
22 September 2006 (USA),"Bull Shoals, Arkansas, USA",6028,5884
9 August 1991 (USA),"Hong Kong, China",6029,5885
3 September 2014 (Netherlands),,6030,5886
17 October 2014 (USA),,6031,5887
22 March 2013 (UK),Jamaica,6032,5888
15 November 1966 (USA),"Texas, USA",6033,5889
21 November 1986 (USA),"2128 East 5th Street - Tucson, Arizona, USA",6034,5890
21 February 2008 (Russia),"California, USA",6035,5891
27 July 2007 (USA),"Aiken, South Carolina, USA",6036,5892
1988 (USA),South Africa,6037,5893
20 June 2003 (USA),"Fort Lauderdale, Florida, USA",6038,5894
1 September 2006 (USA),"Detroit, Michigan, USA",6039,5895
,"Hollywood Hills, Los Angeles, California, USA",6040,5896
12 May 1989 (USA),"Cancún, Benito Juárez, Quintana Roo, Mexico",6041,5897
22 February 2013 (Ireland),"Paris, France",6042,5898
7 March 2003 (USA),"Da Nang, Vietnam",6043,5899
6 June 2015 (USA),"Maine, USA",6044,5900
21 October 2016 (USA),"Prague, Czech Republic",6045,5901
2 February 1996 (USA),"Angola, Louisiana, USA",6046,5902
18 January 2002 (USA),"Corner Brook, Newfoundland, Newfoundland and Labrador, Canada",6047,5903
19 January 2001 (USA),"Noyers-sur-Serein, Yonne, France",6048,5904
20 October 2006 (USA),"Paris, France",6049,5905
12 October 2007 (USA),"Baddesley Clinton, Warwickshire, England, UK",6050,5906
27 May 2003 (USA),"Bronx, New York City, New York, USA",6051,5907
24 December 1976 (USA),"Texarkana, Texas, USA",6052,5908
31 August 1977 (USA),,6053,5909
28 September 1975 (USA),"Mentryville, California, USA",6054,5910
1 December 1975 (Sweden),"Sacramento, California, USA",6055,5911
22 October 1973 (Sweden),"Benton Speedbowl, Alexander, Arkansas, USA",6056,5912
August 1975 (USA),"Tennessee, USA",6057,5913
2 August 1971 (Sweden),"Santa Fe, New Mexico, USA",6058,5914
22 May 2015 (USA),Norway,6059,5915
9 December 2007 (USA),"Ladner, Delta, British Columbia, Canada",6060,5916
29 November 2015 (USA),,6061,5917
1 January 2012 (USA),"Staffordshire, England, UK",6062,5918
12 February 2013 (USA),"Los Angeles, California, USA",6063,5919
30 September 2012 (USA),"Trenton, New Jersey, USA",6064,5920
March 2008 (France),,6065,5921
,"West Dundee, Illinois, USA",6066,5922
16 October 2009 (USA),"San Diego, California, USA",6067,5923
31 October 2011 (USA),"Los Angeles, California, USA",6068,5924
27 March 2015 (USA),"Vancouver, British Columbia, Canada",6069,5925
20 March 2015 (USA),"Santa Clarita, California, USA",6070,5926
19 June 2015 (USA),"Los Angeles, California, USA",6071,1772
9 July 2013 (USA),"Los Angeles, California, USA",6072,5927
12 September 2009 (USA),,6073,5928
22 March 2011 (USA),"Portland, Oregon, USA",6074,5929
4 January 2013 (USA),"Cargill Park-7700 Lotus Lane, Shreveport, Lousiana, USA",6075,5930
24 February 1995 (USA),"Chuluota, Florida, USA",6076,5931
14 March 1936 (USA),"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",6077,5932
12 August 2015 (Philippines),"Rhode Island, USA",6078,5933
13 March 2015 (USA),"Cape Cod, Massachusetts, USA",6079,5934
8 November 1990 (Australia),"Lindenhurst, Long Island, New York, USA",6080,5935
11 February 2016 (Germany),,6081,5936
12 January 1990 (USA),"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",6082,5937
18 October 2013 (USA),"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",6083,5938
March 2013 (USA),,6084,5939
21 July 2015 (Germany),"Snegoff Ranch, Topanga Canyon, California, USA",6085,5940
14 August 2007 (Hungary),,6086,5941
15 January 2013 (USA),"Los Angeles, California, USA",6087,5942
8 August 2014 (USA),,6088,5943
8 April 2014 (USA),"Philadelphia, Pennsylvania, USA",6089,5944
10 March 2009 (USA),"Austin, Texas, USA",6090,5945
November 2011 (USA),"Salt Lake City, Utah, USA",6091,5946
22 October 2011 (USA),"Los Angeles, California, USA",6092,5947
31 December 2011 (USA),,6093,5948
27 July 1979 (USA),"18 Brooks Road, Toms River, New Jersey, USA",6094,5949
2012 (USA),,6095,5950
11 August 1989 (USA),"Los Angeles, California, USA",6096,5951
19 June 2015 (USA),,6097,5952
January 1950 (USA),"Alabama Hills, Lone Pine, California, USA",6098,5953
23 November 1923 (USA),"Anaheim Landing, Anaheim, California, USA",6099,5954
30 October 1961 (USA),"Chinchón, Madrid, Spain",6100,5955
