article_title,article_jissue,original_index,unique_index,count
Internet-delivered exposure and mindfulness based therapy for irritable bowel syndrome--a randomized controlled trial,6.0,864,864,1.0
Sleep-related nighttime crying (yonaki) in Japan: a community-based study.,1.0,865,865,1.0
WITHDRAWN: Zinc for the common cold.,3.0,866,866,1.0
Successful treatment with a rituximab-based regimen of a splenic marginal zone lymphoma with villous lymphocytes in a very frail patient on maintenance dialysis.,4.0,867,867,1.0
In this issue,7.0,868,868,1.0
Exercise-induced changes of the upper extremity in chronic stroke survivors,0.0,869,869,1.0
Respiratory syncytial virus prophylaxis: cost-effective analysis in Argentina (Structured abstract),4.0,870,870,1.0
Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,5.0,871,871,1.0
Sex differences in pain.,3.0,872,872,1.0
Preoperative radiotherapy for esophageal carcinoma,4.0,873,873,1.0
Robotic surgery in gynecology.,1.0,874,874,1.0
Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial,0.0,875,875,1.0
The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness,0.0,876,876,1.0
Are birth kits a good idea? A systematic review of the evidence.,0.0,877,877,1.0
Differential functional connectivity within an emotion regulation neural network among individuals resilient and susceptible to the depressogenic effects of early life stress.,3.0,878,878,1.0
Nurturing students' interest in primary care research through summer training in meta-analysis.,5.0,879,879,1.0
Obesity from cradle to grave.,6.0,880,880,1.0
Effects on prolongation of Bazett�۪s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis,5.0,881,881,1.0
Cost-effectiveness of pharmacological and psychosocial interventions for schizophrenia (Structured abstract),1.0,882,882,1.0
Sports injuries of the ankle. [Japanese],1.0,883,883,1.0
,0.0,884,884,
Chronic heart failure: Current guideline recommendations and innovations. [German],7.0,885,885,1.0
[Procalcitonin as an early marker of sepsis],6.0,886,886,1.0
"The ROX coupler: Creation of a fixed iliofemoral arteriovenous anastomosis for the treatment of systemic arterial hypertension, exploiting the physical properties of the arterial vasculature.",,887,887,
Downregulated E-cadherin expression indicates worse prognosis in Asian patients with colorectal cancer: evidence from meta-analysis.,7.0,888,888,1.0
Preoperative administration of tramadol continuous infusion reduces postoperative morphine requirements in patients undergoing surgery following femur fracture,0.0,889,889,1.0
A re-appraisal of screening for colour vision impairments,5.0,890,890,1.0
Comparison of different distal radius dorsal and volar fracture fixation plates: a biomechanical study,1.0,891,891,1.0
Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?,0.0,892,892,1.0
"Maternal use of folic acid supplements during pregnancy, and childhood respiratory health and atopy.",6.0,893,893,1.0
Shedding health risks with bariatric weight loss surgery,0.0,894,894,1.0
Historical misrepresentation in science: the case of fetal alcohol syndrome,4.0,895,895,1.0
Effects of different antihypertensive drugs on plasma fibrinogen in hypertensive patients.,5.0,896,896,1.0
"Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls",0.0,897,897,1.0
Too little but not too late: results of a literature review to improve routine immunization programs in developing countries,0.0,898,898,1.0
Outcomes among patients with end-stage liver disease who are coinfected with HIV and hepatitis C virus.,,899,899,
Phase II study to evaluate the safety and efficacy of the oral neurokinin-1 receptor antagonist casopitant (GW679769) administered with ondansetron for the prevention of postoperative and postdischarge nausea and vomiting in high-risk patients,1.0,900,900,1.0
Factors Predicting Success and Failure for Cervical Facet Radiofrequency Denervation: A Multi-Center Analysis,6.0,901,901,1.0
Mediterranean diet and metabolic syndrome: an updated systematic review.,3.0,902,902,1.0
Immunotherapy for autoimmune autonomic ganglionopathy,1.0,903,903,1.0
Challenges in deactivating a total artificial heart for a patient with capacity.,3.0,904,904,1.0
Readmissions after hospital discharge with acute exacerbation of COPD: are we missing something?,2.0,905,905,1.0
Read with Me! Examining the Effects of a Community Volunteer Reading Program on Preschoolers' Literacy Skills,0.0,906,906,1.0
Efficacy of continuation/maintenance electroconvulsive therapy for the prevention of recurrence of a major depressive episode in adults with unipolar depression: a systematic review.,3.0,907,907,1.0
"Autonomic activity, pain, and perceived health in patients on sick leave due to stress-related illnesses",1.0,908,908,1.0
"Body mass index and socioeconomic status measured in adolescence, country of origin, and the incidence of gastroesophageal adenocarcinoma in a cohort of 1 million men.",23.0,909,909,1.0
Galphai generates multiple Pins activation states to link cortical polarity and spindle orientation in Drosophila neuroblasts,36.0,910,910,1.0
Exposure to second-hand smoke and the risk of tuberculosis in children and adults: a systematic review and meta-analysis of 18 observational studies.,6.0,911,911,1.0
"Disordered eating, acculturation, and treatment-seeking in a community sample of Hispanic, Asian, Black, and White women",3.0,912,912,1.0
Semi-automated scoring of pulmonary emphysema from X-ray CT: trainee reproducibility and accuracy.,11.0,913,913,1.0
The choice of whether to participate in a phase I clinical trial: increasing the awareness of patients with cancer. An exploratory study.,3.0,914,914,1.0
Study of high- and low-current-configuration homes from the 1988 Denver Childhood Cancer Study,3.0,915,915,1.0
Health services research methods: a guide to best practice,0.0,916,916,1.0
Transapical aortic valve implantation in 175 consecutive patients: excellent outcome in very high-risk patients.,10.0,917,917,1.0
An evaluation of ultrasound imaging for identification of lumbar intervertebral level.,3.0,918,918,1.0
Branching enzyme deficiency: expanding the clinical spectrum.,1.0,919,919,1.0
[Blood insulin values after the oral glucose tolerance test (OGTT) and the body composition in 30 obese children].,5.0,920,920,1.0
Study: Edoxaban safer alternative to warfarin for Afib patients,0.0,921,921,1.0
Budesonide/formoterol in a single inhaler sustains lung function improvements in COPD [Abstract],0.0,922,922,1.0
"Can moxibustion, an ancient treatment modality, be evaluated in a double-blind randomized controlled trial? - A narrative review",3.0,923,923,1.0
"Amitriptyline, minocycline and maropitant reduce the sevoflurane minimum alveolar concentration and potentiate remifentanil but do not prevent acute opioid tolerance and hyperalgesia in the rat: a randomised laboratory study.",4.0,924,924,1.0
SUNCT syndrome: VIII. Pupillary reaction and corneal sensitivity,6.0,925,925,1.0
Competencies for undergraduate community-based education for the health professions - A systematic review.,9.0,926,926,1.0
"Efficacy, immunogenicity, and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life",1.0,927,927,1.0
Preferences and practices of Americans and their physicians in antihypertensive therapy,0.0,928,928,1.0
"Decision analysis for small, asymptomatic intracranial arteriovenous malformations",5.0,929,929,1.0
WhatsApp Messenger is useful and reproducible in the assessment of tibial plateau fractures: inter- and intra-observer agreement study.,2.0,930,930,1.0
Type I and II endometrial cancers: have they different risk factors?,20.0,931,931,1.0
Should psychiatrists use atypical antipsychotics to treat nonpsychotic anxiety?.,0.0,932,932,1.0
Predictors of intention to adhere to physiotherapy among women with urinary incontinence.,0.0,933,933,1.0
Role of non-opioid analgesic techniques in the management of pain after ambulatory surgery,0.0,934,934,1.0
Raised intracranial pressure following abdominal closure in a polytrauma patient.,1.0,935,935,1.0
"Collaborative practice: development, implementation, and evaluation of a weaning protocol for patients receiving mechanical ventilation",5.0,936,936,1.0
Changes in lower esophageal sphincter pressure (LES) after Stamm gastrostomy,5.0,937,937,1.0
Consumption of fried foods and risk of metabolic syndrome: the SUN cohort study,3.0,938,938,1.0
"The expert patients programme online, a 1-year study of an Internet-based self-management programme for people with long-term conditions",4.0,939,939,1.0
Clinical course of patients with aspirin-exacerbated     respiratory disease: can we predict the prognosis?,4.0,940,940,1.0
Perineal endometriosis: a case report and review of the literature,0.0,941,941,1.0
Management of hemorrhage complicated by novel oral anticoagulants in the emergency department: Case report from the northwestern emergency medicine residency,3.0,942,942,1.0
Improving cognition by adherence to physical or mental exercise: a moderated mediation analysis.,4.0,943,943,1.0
Evaluation of a hybrid constructed wetland for treating domestic sewage from individual housing units surrounding agricultural villages in South Korea,1.0,944,944,1.0
Posterior lumbar interbody fusion versus posterolateral fusion with instrumentation in the treatment of low-grade isthmic spondylolisthesis: midterm clinical outcomes,4.0,945,945,1.0
The Family Contract Game: Technique and case study,3.0,946,946,1.0
Inhibition of dxpression of VEGF in tumor cells by RNAi. [Chinese],0.0,947,947,1.0
Same-Day Discharge After Percutaneous Coronary Intervention: A Meta-Analysis.,0.0,948,948,1.0
Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?,0.0,949,949,1.0
"Astaxanthin Inhibits JAK/STAT-3 Signaling to Abrogate Cell Proliferation, Invasion and Angiogenesis in a Hamster Model of Oral Cancer.",10.0,950,950,1.0
"Analysis of the cochrane review: Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care. cochrane database syst rev. 2014,11:Cd10130",6.0,951,951,1.0
Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,1.0,952,952,1.0
Diagnostic performance of body mass index to identify obesity as defined by body adiposity: a systematic review and meta-analysis.,5.0,953,953,1.0
Stress enhances retrieval of drug-related memories in abstinent heroin addicts,3.0,954,954,1.0
Combined antiplatelet and anticoagulant therapy: Clinical benefits and risks,0.0,955,955,1.0
Effects of control over office workspace on perceptions of the work environment and work outcomes,3.0,956,956,1.0
"New concepts in predicting, evaluating, and managing neurodevelopmental outcomes in children with congenital heart disease.",5.0,957,957,1.0
Continuous aspiration of subglottic secretions in preventing ventilator-associated pneumonia.,3.0,958,958,1.0
Transport of infants with congenital heart disease.,5.0,959,959,1.0
Harmonizing Pain Outcome Measures: Results of the Pre-OMERACT Meeting on Partnerships for Consensus on Patient-important Pain Outcome Domains Between the Cochrane Musculoskeletal Group and OMERACT,10.0,960,960,1.0
Effects of Ginkgo biloba on haemostatic factors and inflammation in chronic peritoneal dialysis patients.,6.0,961,961,1.0
Contents List,1.0,962,962,1.0
Antimalarial agents: Are we running out of options?,6.0,963,963,1.0
A balancing act of the brain: activations and deactivations driven by cognitive load.,0.0,964,964,1.0
18F-flumazenil: a �_-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,8.0,965,965,1.0
"[In vitro culture of cells from respiratory mucosa on foils of collagen, poly-L-lactide (PLLA) and poly-3-hydroxy-butyrate (PHB)].",10.0,966,966,1.0
Poverty is the main environmental factor for obesity in a Mexican-border city,2.0,967,967,1.0
Growth hormone treatment and diabetes: survey of the kabi pharmacia international growth study.,,968,968,
The effects of 4-aminopyridine on neurological deficits in chronic cases of traumatic spinal cord injury in dogs: A phase I clinical trial,2.0,969,969,1.0
Yoga Spinal Flexion Positions and Vertebral Compression Fracture in Osteopenia or Osteoporosis of Spine: Case Series,1.0,970,970,1.0
Augmin-dependent microtubule nucleation at microtubule walls in the spindle,1.0,971,971,1.0
[Pravastatin and acetylsalycilic acid fixed-combination: a strategy to improve cardiovascular outcomes].,,972,972,
Functional conservation and divergence of J-domain-containing ZUO1/ZRF orthologs throughout evolution.,6.0,973,973,1.0
"Validity of International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) screening for sepsis in surgical mortalities.",5.0,974,974,1.0
"The association between urinary cortisol excretion and cardiovascular risk factors, bone status and quality of life in the population.",,975,975,
"The value of transurethral bladder biopsy after intravesical bacillus Calmette-Guerin instillation therapy for nonmuscle invasive bladder cancer: A retrospective, single center study and cumulative analysis of the literature.",0.0,976,976,1.0
Complicated skin and soft tissue infection.,,977,977,
"Nonsyndromic 46,XX Testicular Disorders of Sex Development",0.0,978,978,1.0
Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1�_ in pancreatic rat �_-cells via the IRE1�/XBP1s pathway.,7.0,979,979,1.0
<title>SPECCHIO: a free spectral data management and processing system</title>,0.0,980,980,1.0
Operations for cervical incompetence,2.0,981,981,1.0
Effectiveness of measles vaccination and vitamin A treatment,0.0,982,982,1.0
Acute effects of different nutritional supplements on symptoms and functional capacity in patients with chronic obstructive pulmonary disease.,2.0,983,983,1.0
Preliminary results from a single institutional prospective study of alemtuzumab for the treatment of steroid refractory acute graft versus host disease in pediatrics,2.0,984,984,1.0
"Anaesthesia, movement and emesis",6.0,985,985,1.0
Antimicrobial susceptibility among Gram-positive organisms collected from pediatric patients globally between 2004 and 2011: results from the Tigecycline Evaluation and Surveillance Trial,7.0,986,986,1.0
Left ventricular hypertrophy predicts outcome of hypertension regardless of the type of ventricular arrhythmia present,9.0,987,987,1.0
Combined use of caudal bupivacaine and rectal diclofenac is not superior to the use of each analgesic regimen alone,0.0,988,988,1.0
Measurement of muscle architecture concurrently with muscle hardness using ultrasound strain elastography.,7.0,989,989,1.0
Energy and fat intakes of children and adolescents in the united states: data from the national health and nutrition examination surveys,5.0,990,990,1.0
An official American Thoracic Society systematic review: Influence of psychosocial characteristics on workplace disability among workers with respiratory impairment.,9.0,991,991,1.0
Polymorphisms of the XPC gene may contribute to the risk of head and neck cancer: a meta-analysis.,4.0,992,992,1.0
An evaluation of the effectiveness of recruitment methods: The staying well after depression randomized controlled trial,2.0,993,993,1.0
Campfire burns in children: an Australian experience.,4.0,994,994,1.0
Distribution of silicotic collagenization in relation to smoking habits,2.0,995,995,1.0
Mega-ampere submicrosecond generator GIT-32,3.0,996,996,1.0
Correct Performance of Pelvic Muscle Exercises in Women Reporting Prior Knowledge.,,997,997,
"Long-term survival after ""liver first"" approach for locally advanced rectal cancer and synchronous liver metastases",9.0,998,998,1.0
Pharmacoeconomic Evaluation of Tiotropium Bromide in the Long-Term Treatment of Chronic Obstructive Pulmonary Disease (COPD) in Italy,1.0,999,999,1.0
