article_pagination,author_list,original_index,unique_index
2335-2340,"{""Diederik van de Beek"",""Anthony G Rudd"",""Lalit Kalra"",""Joan Montaner"",""Javier Garau"",""Pippa J Tyrrell"",""Stephen J Hopkins"",""Craig J Smith"",""Mark Woodhead"",""Angel Chamorro"",""Mario Di Napoli"",""Andreas Meisel"",""Peter Langhorne"",""Andy Vail"",""Amit K Kishore"",""Christine Roffe""}",653,623
19-24,"{""P. D. Fabricant"",""M. P. Bostrom"",""C. J. Dy"",""D. M. Dare""}",654,624
167-175,"{""Beverley J. Antle""}",655,625
3111-9,"{""N̼ria Lloberas"",""Marcel la Franquesa"",""Josep M Cruzado"",""Josep M Griny�_"",""In̩s Rama"",""Gabriela Alperovich"",""Immaculada Herrero-Fresneda"",""Joan Torras"",""Pepita Gim̩nez-Bonaf̩""}",656,626
720-6,"{""Paolo Boffetta"",""Giovanni Corrao"",""Irene Tramacere"",""Vincenzo Bagnardi"",""Eva Negri"",""Lorenza Scotti"",""Werner Garavello"",""Matteo Rota"",""Carlo La Vecchia"",""Federica Turati"",""Farhad Islami""}",657,627
615-9,"{""Eugenio A Parati"",""Bruce M Psaty"",""Christopher Levi"",""Guido Falcone"",""Ioana Cotlarciuc"",""Bradford B Worrall"",""Rodney J Scott"",""Hugh S Markus"",""Jonathan Rosand"",""Jim Jannes"",""John W Cole"",""Sudha Seshadri"",""Rainer Malik"",""M Arfan Ikram"",""Christopher Oldmeadow"",""Karen L Furie"",""Kerri L Wiggins"",""Jane M Maguire"",""Matthew Traylor"",""Peter M Rothwell"",""[Collective Name] Wellcome Trust Case Control Consortium 2"",""[Collective Name] Australian Stroke Genetics Collaborative"",""Steven J Kittner"",""Braxton D Mitchell"",""Elizabeth G Holliday"",""Jemma C Hopewell"",""Giorgio B Boncoraglio"",""Eric Boerwinkle"",""Lisa F Lincz"",""Robert Clarke"",""Steve Bevan"",""Naomi R Wray"",""John Attia"",""James F Meschia"",""Joshua C Bis"",""Thomas H Mosley"",""Mike A Nalls"",""Cathie Sudlow"",""Yu-Ching Cheng"",""Pankaj Sharma"",""Martin Dichgans"",""[Collective Name] International Stroke Genetics Consortium"",""Myriam Fornage""}",658,628
1237-48,"{""Peter Schoenknecht"",""Matthias L Schroeter"",""Johann Steiner"",""Karsten Mueller"",""Julia Sacher""}",659,629
945-52,"{""Alfredo D'Aniello"",""Addolorata Mascia"",""Vincenzo Esposito"",""Pier Paolo Quarato"",""Marco De Risi"",""Angelo Picardi"",""Giancarlo Di Gennaro"",""Liliana G Grammaldo"",""Sara Casciato"",""Giulio N Meldolesi""}",660,630
A31,"{""N. Cord-Udy""}",661,631
341-7,"{""Wolfgang Konertz"",""Otto Krogmann"",""Pascal M Dohmen"",""Birgit Franzbach"",""Emanuela Angeli"",""Carlo Pace Napoleone"",""Johannes Kroll"",""Gleb Tarusinov"",""Torsten Christ"",""Gaetano Gargiulo""}",662,632
e103065,"{""Yong-Long Chi"",""Xiao-Lei Zhang"",""Nai-Feng Tian"",""Yao-Sen Wu"",""Xin-Lei Wu"",""Xiang-Yang Wang"",""Fang-Min Mao"",""Li-Jun Wu"",""Xu-Qi Hu""}",663,633
599-606,"{""Hansel J Otero"",""Peter J Neumann"",""Chi H Fang"",""Robert J Ward"",""Meera Sekar""}",664,634
,"{""M. S. Ihara"",""J. R. Tripet-Diel"",""K. Shahlaie"",""C. S. Li"",""J. Brown"",""S. H. Cohen"",""M. Giordani"",""E. O. Klineberg""}",665,635
542-549,"{""Q. X. Zhang"",""J. H. Tian"",""X. Y. Tan"",""A. L. Yang"",""X. M. Yang"",""Z. X. Zhang""}",666,636
209-234,"{""KATERINA1 BODOVSKI"",""RACHAEL3 WALSH"",""INBAL2 NAHUM-SHANI""}",667,637
32,"{""C. D. Packer""}",668,638
142-166,"{""Melinda Dooly""}",669,639
139,"{""G. Mikus"",""N. Hohmann"",""D. Czock""}",670,640
700-4,"{""M. Suter"",""V. Giusti""}",671,641
422-424,"{""Katoulis A.C."",""Georgala K."",""Georgala S."",""Befon A."",""Stavropoulos P.G.""}",672,642
209-19,"{""Ahmet Asan""}",673,643
207-20,"{""A Gaitatzis"",""M R Trimble"",""J W Sander""}",674,644
55-56,"{""K. F. Joyner""}",675,645
1704-10 ST  - Aerobic fitness testing in patients with chronic low back pain: which test is best?-,"{""T. H. Michel"",""W. C1  - Fr̴n RCT-șkningen CN  - Pubmed DA  - Jul 1 DP  - NLM ET  - 2000/06/28 Rogers"",""A. Wagner"",""H. Wittink"",""R. Kulich"",""A. Sukiennik"",""R. Maciewicz""}",676,646
"262-265 ST  - Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina-",{NULL},677,647
79-85,"{""Debashish Chakravarthy"",""Elizabeth A. Hinton"",""Tracey C. Vlahovic"",""Cynthia Ann Fleck""}",678,648
514-27,"{""Aaron P Blaisdell"",""Jared Wong"",""Kenneth J Leising"",""Michael R Waldmann""}",679,649
50-55,"{""Vanashri Nargund-Joshi"",""Jean S. Lee""}",680,650
22,"{""H. Y. Tong"",""J. Frias"",""R. Lubomirov"",""P. Lapunzina"",""A. M. Borobia"",""J. Tenorio"",""P. Arias"",""A. J. Carcas""}",681,651
113-129,"{""Cara B. Ebbeling"",""Dhirendra N. Sinha"",""Glorian C. Sorensen"",""Harry A. Lando"",""Mangesh S. Pednekar"",""Claudia R. Pischke"",""Prakash C. Gupta"",""Eve M. Nagler"",""Mira B. Aghi"",""Kasisomayajula Viswanath""}",682,652
5635-42,"{""A D Nageswari"",""S Vani"",""P Muthuveeralakshmi"",""S Shanmugalakshmi"",""V Dheenadhayalan"",""G Arivarignan"",""R M Pitchappan""}",683,653
10-14 DO  - 10.1016/S0748-7983(10)00156-3,"{""P Mroczkowski"",""R Kube"",""A Dziki"",""B Moran"",""H Lippert"",""I Gastinger""}",684,654
9-Mar,"{""Norbert Gutknecht"",""Manuel F Carvalho"",""Irene Pina-Vaz"",""Miguel R Martins"",""Jose A Capelas"",""Miguel A Martins""}",685,655
257-264,"{""S Hajjem"",""M Hsairi"",""N Ben Mansour"",""H Skhiri"",""H Aounallah-Skhiri""}",686,656
1487-90,"{""D. Ring"",""R. G. Albers"",""T. G. Guitton""}",687,657
15-21,"{""Su-Gwan Kim"",""Ji-Yeon Ahn"",""Young-Kyun Kim"",""Jong-Wan Kim"",""Pil-Young Yun""}",688,658
447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,"{""I. Hashimoto"",""S. Hirasawa"",""Y. Sawada"",""Y. Kasai"",""J. Mikami"",""H. Abe"",""M. Nakanishi"",""E. Bekki"",""K. Kasai"",""T. Nakamura"",""M. DA  - Mar DP  - NLM ET  - 1981/03/01 Omosu""}",689,659
983-6,"{""M Caliskan"",""M Karab̦c�_oglu"",""A Citak"",""N Uzel"",""K Aydin"",""A Nayir"",""D D Soysal""}",690,660
G11-G15,"{""I. Williamson""}",691,661
,"{""K. Prehoda"",""A. Novak"",""J. Mauser""}",692,662
139-145,"{""[Collective Name] Jennings"",""[Collective Name] Kingwell""}",693,663
603-10,"{""Andreas Beelmann"",""Friedrich L̦sel""}",694,664
2425-31,"{""N. E. Adler"",""J. Lin"",""E. S. Epel"",""D. H. Rehkopf"",""B. A. Laraia"",""E. H. Blackburn"",""B. L. Needham"",""C. W. Leung""}",695,665
332-3,"{""L. Kadehjian"",""E. J. Cone"",""B. A. Goldberger""}",696,666
4482-4486,"{""S. Roberts""}",697,667
47-51 ST  - The concept of neurosis in a cross-cultural perspective-,"{""S. K. Chaturvedi"",""D. CN  - PubMed_140821 DA  - Jan DO  - 10.1097/YCO.0b013e328010ca65 DP  - NLM ET  - 2006/12/05 Bhugra""}",698,668
1-Jan,"{""Business/Technology Editors""}",699,669
,"{""J. Le"",""B. Riegel"",""B. J. Bobrow"",""A. L. Blewer"",""B. S. Abella"",""M. Leary"",""D. Buckler""}",700,670
120 [TP 184],"{""Pizzichini E"",""Hart L"",""Paggiaro P"",""Hamilton A"",""Peters M"",""Korducki L"",""De Salvo M"",""De La Hoz A"",""Koch A""}",701,671
Cd006178,"{""U. S. Sangkomkamhang"",""P. Lumbiganon"",""W. Prasertcharoensuk"",""M. Laopaiboon""}",702,672
,{NULL},703,46
987149,"{""Paolo Dell'Oglio"",""Alessandro Larcher"",""Nicola Fossati"",""Nicol�_ Maria Buffi"",""Alberto Abrate"",""Giuliana Lista"",""Francesco Montorsi"",""Francesco Mistretta"",""Massimo Lazzeri"",""Giorgio Guazzoni"",""Giovanni Lughezzani""}",704,673
36-9,"{""E. Shvartz""}",705,674
375-93,"{""Gianfranco Pagano"",""Giovanni Musso"",""Maurizio Cassader"",""Roberto Gambino""}",706,675
601-7,"{""K Ishikawa-Takata"",""T Ohta"",""K Moritaki"",""T Gotou"",""S Inoue""}",707,676
274-82,"{""D Cioffi"",""J Holloway""}",708,677
459-65,"{""J. M. Claise"",""S. Neel"",""P. Catilina"",""L. Fontana"",""S. Ughetto""}",709,678
77-95,"{""E.-B. Malmgren-Olsson"",""K. Armelius"",""B.-��. Armelius""}",710,679
,{NULL},711,46
25,"{""Anna Brown"",""Jane Green"",""Valerie Beral"",""Gillian Reeves"",""Pat Doyle""}",712,680
414-6,"{""A. Pavin"",""A. Staffieri"",""G. Marioni"",""G. Brescia"",""R. Rinaldi""}",713,681
1756-1764,"{""Jaimee L. Heffner"",""Jonathan Bricker"",""Bryan Comstock"",""Christopher Wyszynski""}",714,682
419,"{""Kazeem B Yusuff"",""Unyime I Eshiet""}",715,683
297-310,"{""E. Kim""}",716,684
64-7,"{""Hisako Hara"",""Yukio Seki"",""Noriyuki Murai"",""Isao Koshima"",""Takuya Iida"",""Makoto Mihara"",""Takeshi Todokoro""}",717,685
923-931,"{""K.-W. Park"",""J. Song"",""H.-J. Kim"",""S.-R. Moon"",""M.S. Lee""}",718,686
13-May,"{""F. Deng"",""J. Wen"",""Q. Y. Cai"",""Y. P. Li""}",719,687
13-21 DO  - 10.1016/j.brat.2011.10.009,"{""O E Havik"",""P Carlbring"",""L G ��st"",""T Nordgreen"",""G Andersson"",""T Furmark""}",720,688
413-27,"{""M. H. de Oliveira Junior"",""E. S. Sarinho"",""G. V. de Araujo"",""D. M. Peixoto""}",721,689
93-99 7p,"{""S. V. Driamov"",""S. Butz"",""P. T. Buser"",""C. E. Zaugg"",""M. Bellahcene""}",722,690
900-14,"{""Siwy Ling Yang"",""Kuang-Ren Chung""}",723,691
,{NULL},724,46
,"{""Brooklyn. Office of Educational Assessment. New York City Board of Education""}",725,692
,{NULL},726,46
170-5,"{""R. Voss""}",727,693
S32-47,{NULL},728,694
393-411,"{""dirk.hoek@ou.nl Hoek, Dirk1"",""Koeno2 Gravemeijer""}",729,695
1947-1963,"{""Hotzel K"",""R "",""von Brachel"",""Kosfelder J"",""Hechler T"",""Vocks S"",""Rieger E"",""Schulte D"",""Schmidt U""}",730,696
56-60,"{""Nuria Malats"",""Alfredo Carrato"",""Manolis Kogevinas"",""Nathaniel Rothman"",""Consol Serra"",""Reina Garcia-Closas"",""Debra Silverman"",""Adonina Tardon"",""Kenneth P. Cantor"",""Mustafa Dosemeci"",""Gemma Castano-Vinyals"",""Roel Vermeulen""}",731,697
974-81,"{""Michael E Thase"",""Younghua Wang"",""April E Harriett"",""Melinda Mitton"",""Carol B Rockett"",""Barbara R Haight"",""Jack G Modell"",""Nathalie Richard"",""Susan VanMeter""}",732,698
172-82,"{""C. Jahanchahi"",""C. C. Took"",""B. C. Ujang"",""D. P. Mandic""}",733,699
28-Jul,"{""Marlos Rodrigues Domingues"",""Ana Claudia Gastal Fassa"",""Maria Laura Vidal Carret""}",734,700
74-6,"{""M. C. Klein""}",735,701
53-58,"{""George E. Woody"",""Anne Geller"",""Edgar H. Adams"",""Theodore J. Cicero"",""Alvaro Munoz"",""Edward C. Senay"",""James A. Inciardi""}",736,702
462-70,"{""Sergio Garrido"",""Angeles Pulgar"",""Stefan Duschek"",""Mar�_a Mart�_n-V��zquez"",""Gustavo A Reyes Del Paso""}",737,703
,"{""Ugurel S."",""Schadendorf D."",""Garbe C."",""Trefzer U."",""Egberts F."",""Hassel J."",""Weichenthal M."",""Hauschild A."",""Mauch C."",""Gutzmer R.""}",738,704
119-26,"{""P. Domicel"",""A. Tammelin"",""E. Stahle"",""A. Hambraeus""}",739,705
791-799,"{""Komla Tsey"",""Melissa R Haswell"",""Lyndon Reilly"",""David Kavanagh"",""Chris Doran"",""Arlene Laliberte"",""Andrew Wilson"",""Yvonne Cadet-James""}",740,706
59-63,"{""K. Radig"",""A. Roessner"",""P. Buhtz""}",741,707
25-29,"{""Geoffrey C. Williams"",""Bai Brownson Difranza Gehrman Glantz Law Mokdad Ory Panagiotakos Pechacek Pyle Sargent Sweda Whincup Whitlock Arcavi""}",742,708
,{NULL},743,46
105-18,"{""M Chouchkova"",""A Engibarov""}",744,709
,"{""N. Harcourt"",""S. C. Masri"",""M. Colvin"",""G. Raveendran""}",745,710
,"{""S. M. Smith"",""A. D. Marinov"",""R. Hirsch"",""D. S. Bushnell"",""B. T. Campfield"",""H. C. Blair"",""Y. Chaly""}",746,711
,{NULL},747,46
286-91,"{""T. Sentell"",""T. Usagawa"",""M. Hagiwara"",""T. Peacock"",""H. Hee Heo"",""M. G. Pearce"",""L. Choy"",""M. R. Dela Cruz""}",748,712
584-90,"{""M Wabitsch"",""A Moss"",""D Kunze""}",749,713
68-9 ST  - The cost of national service frameworks-,"{""R. CN  - PubMed DA  - Feb DP  - NLM ET  - 2004/03/05 Boyle""}",750,714
98--100,"{""Shauna S Roberts""}",751,715
166-188,"{""Linda M. Burton"",""Altman Bullard Burton Burton Burton Burton Burton Clark Conley Dilworth-Williams Fischer Foucault Franklin Gieryn Gilbert Goering Hooks Howard Kidder Lahiri Lawson Clark Lawson Clark Lawson Clark Low Massey Oliver Perkins Rosenbaum Rosenbaum Sanders Stack Allan"",""Sherri Lawson Clark""}",752,716
464-468,"{""Yan-Yan Li"",""Yun Qian"",""Chuan-Wei Zhou""}",753,717
1017-28,"{""T. Sone""}",754,718
798-805,"{""S. B. Levy"",""A. O. Shogbon""}",755,719
815-22,"{""Y L Ku""}",756,720
,{NULL},757,46
"48-57; quiz 58, 60","{""S. Ashelford"",""V. Taylor""}",758,721
A776,"{""Dilokthornsakul P."",""Joo M.J."",""Lee T.A."",""Pickard A.S."",""Lin F.J.""}",759,722
283-90,"{""W. Hunziker"",""K. H. Tan""}",760,723
1307-12,"{""Saadettin Kilickap"",""Omer Dizdar"",""Sercan Aksoy"",""Ibrahim Barista"",""Hakan Harputluoglu"",""Kadri Altundag"",""Didem Sener Dede""}",761,724
187-93,"{""Carol E Barnewolt"",""Hiroto Hatabu"",""Mizuki Nishino"",""Deborah Levine"",""Henry A Feldman"",""Judy A Estroff"",""Valerie L Ward""}",762,725
40-43,"{""S. Dey"",""P. Bhattacharyya"",""B. K. Biswas"",""B. Bhattarai"",""P. Bhakta""}",763,726
1541-7,"{""[Collective Name] CARE Group"",""Joel J Gagnier"",""David Moher"",""Douglas G Altman"",""Gunver Kienle"",""David Riley"",""Harold Sox""}",764,727
204-16,"{""Sandra M Walsh"",""Shiue Chen""}",765,728
,{NULL},766,46
769-86,"{""Y Matsushima""}",767,729
,"{""Daiki Uchida"",""Yukihiro Saito"",""Hisashi Uchida"",""Atsuhiro Koya"",""Nobuyoshi Azuma""}",768,730
e112077,"{""Skye P Barbic"",""Paul W Andrews"",""Zachary Durisko""}",769,731
1140-50,"{""G Boutet""}",770,732
B123-6,"{""M Ladetto"",""D Caracciolo"",""G Rossi"",""C Marinone"",""L Bergui"",""A Cuttica"",""A Salomone"",""M Boccadoro"",""I Ricca"",""C Tarella"",""M Pagano"",""F Zallio"",""P Gavarotti"",""A Pileri"",""A de Crescenzo""}",771,733
,"{""Carolyn Gotay""}",772,734
2211-22,"{""Chunhui Wang"",""Richard Hayes"",""Louise Kuhn"",""Stephen Shiboski"",""Jennifer S Smith"",""Natasha L Larke"",""Deborah Watson-Jones"",""Catherine F Houlihan"",""Patti E Gravitt"",""Karen K Smith-McCune""}",773,735
152-6,"{""M Mikkonen"",""R Kotilainen"",""A Kullaa-Mikkonen""}",774,736
194,"{""M. Galus""}",775,737
15-Oct,"{""Raymond N. Perrin""}",776,738
190-192,"{""Z. Hirschfeld"",""I. Brin"",""A. Fuks"",""M. Guelmann""}",777,739
572-84,"{""A. R. Aleandri"",""D. Mancini"",""T. Cosentini"",""R. Le Donne"",""N. Colavita""}",778,740
271-7,"{""Masayuki Otsuki"",""Makoto Arakawa"",""Hidekazu Sonoda"",""Yasutaka Sasafuchi"",""Yuichi Kitasako"",""Junji Tagami""}",779,741
84-8,"{""B. Pollin"",""C. Geny"",""J. P. Nguyen"",""P. Cesaro"",""A. Feve""}",780,742
336-49,"{""Scott O Lilienfeld"",""Keli Holloway Allen"",""Howard N Garb"",""Jessica L Wildermuth"",""M Teresa Nezworski"",""James M Wood""}",781,743
,"{""NCT01893931 ""}",782,744
234-249,"{""Wu-Yuin Hwang"",""Guo-Liang Hsu""}",783,745
266-8,"{""V Cerabona"",""M Wachocka"",""U Moscato"",""V Camisa"",""M G Tucci"",""S Zaffina"",""V Montaldi"",""A Poscia""}",784,746
-,"{""V. Hirsh"",""J.Y. Han"",""F. Blackhall"",""S. Iyer"",""D.W. Kim"",""A. Shaw"",""A. Reisman"",""K. Wilner"",""H. Nokihara"",""B. Besse""}",785,747
29-38,"{""S. Sarkar"",""S. Grover""}",786,748
79-80,"{""P K Shestakov""}",787,749
20-20,"{""Patrick Royston"",""Rachel Waters"",""Susan Mallett"",""Douglas G Altman"",""Susan Dutton""}",788,750
35-40,"{""J. M. Neal"",""D. J. Kopacz"",""M. A. Lewis"",""J. J. Deck""}",789,751
694-702,"{""Lucio Montebugnoli"",""Luca Morandi"",""Luca Scapoli"",""Annalisa Palmieri"",""Davide B Gissi"",""Maria Pia Foschini"",""Ilaria Manelli""}",790,752
,"{""Rossana De Palma"",""Paolo Ortolani"",""Caterina Caminiti"",""Emilia Solinas"",""Piera Angelica Merlini"",""Diego Ardissino"",""Giorgia Paoli"",""Maria Francesca Notarangelo"",""Paolo Guastaroba"",""Antonio Marzocchi"",""Luigi Vignali"",""Roxana Mehran"",""Antonio Manari""}",791,753
221-32,"{""I. Delgado"",""J. Vega""}",792,754
18-31 14p,"{""Linda L. Morris"",""Andrea Whitmer"",""Erik McIntosh""}",793,755
615-7,"{""C Pithan"",""M Mazariegos"",""N W Solomons"",""P F�_rst""}",794,756
1257-66,"{""Martijn W Heymans"",""Tobias van den Berg"",""Han J R Anema"",""Lieke van Oort"",""Bart W Koes"",""Arianne P Verhagen"",""Riekie H C W de Vet""}",795,757
91-8,"{""Ronaldo Fazzi"",""Ana Estela Haddad"",""Maria Salete Nah��s Pires Corr̻a""}",796,758
841-7,"{""Jeff Knight"",""Jeffery M Smith"",""Thomas E Trumble"",""Wren V McCallister""}",797,759
,{NULL},798,46
42-53,"{""Maarten J Postma"",""Petros Pechlivanoglou"",""Jelena Stevanovic""}",799,760
,"{""Jennifer Payne"",""Rukshanda Ahmad"",""Gregory Doyle"",""Norm Phillips"",""Anna M Chiarelli"",""Christine Wilson"",""Kathleen Decker"",""Andrew Coldman"",""Bin Zhang"",""Jacques Brisson""}",800,761
39-51,"{""J�_rgen Rehm"",""Gerhard Gmel"",""Maurizio Trevisan"",""Christopher T Sempos""}",801,762
186-192,"{""S. Furman"",""D. T. Kawanishi"",""S. L. Song""}",802,763
124-31,"{""E. J. Frew"",""J. L. Wolstenholme"",""D. K. Whynes""}",803,764
125-142,"{""H.M. Sussman"",""P. Franklin"",""T. Simon""}",804,765
346-352,"{""Li X.-H."",""Li G.-C."",""Xie Y.-L."",""Shang H.-C."",""Chi K.-L."",""Jin Y.-H.""}",805,766
1928-33,"{""Annalisa Ansaloni"",""Jae Sun Jeong"",""Francesco Simone Ruggeri"",""Giovanni Dietler"",""Zhe-Ming Wang"",""Hilal A Lashuel""}",806,767
47-55,"{""Gianluca Rigatelli"",""Paolo Cardaioli"",""Massimo Giordan"",""Ashesh Buch"",""Laura Oliva"",""Dobrin Vassiliev"",""Aravinda Nanjiundappa"",""Fabio Dell'Avvocata"",""Ramesh Daggubati"",""Dario Adami""}",807,768
299-314,"{""Hanan Al-Modallal"",""Ann Peden"",""Debra Anderson""}",808,769
756-60,"{""M. S. Goromossow""}",809,770
,"{""NCT01713205 ""}",810,771
,{NULL},811,46
348,"{""J. Saengsuwan"",""K. Sawanyawisuth"",""N. Ungtrakul"",""J. Saengsuwan""}",812,772
161-5,"{""P G̩rard"",""J Montesanti"",""P Lepage"",""M M Massin""}",813,773
11342-11352,"{""K. Peisker"",""B. Singh"",""S. Sanyal"",""Q. Chai"",""X. Ge"",""N. Metzendorf"",""S. Dasgupta""}",814,774
119-125,"{""N. A. Mark Estes"",""Scott McNitt"",""Wojciech Zareba"",""Bronislava Polonsky"",""Douglas Laidlaw"",""Mark S. Link"",""Frank Marcus"",""Kathleen Gear""}",815,775
178-88,"{""R. A. Ord"",""A. Salama"",""R. Movahed"",""S. A. McClure""}",816,776
66-76,"{""B. T. Rudd""}",817,777
127-31 ST  - Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?-,"{""L. Starka"",""J. Vrbikova"",""M. DA  - Dec DP  - Nlm ET  - 2006/03/24 Hill"",""M. Duskova"",""I. Cermakova""}",818,778
A326,"{""Cayetano K."",""Ghannam D."",""Rawat N.""}",819,779
,"{""C. Coretti"",""C. Napoli"",""G. Lovero"",""M. T. Montagna"",""G. Caggiano"",""G. Scarafile"",""O. de Giglio""}",820,780
976-9,"{""Eunice Molinar-Toribio"",""Benjam�_n Pi̱a"",""Livia G�_mez"",""Jara P̩rez-Jim̩nez"",""Marta Casado"",""Sara Ramos-Romero"",""Pere Clap̩s"",""Josep Llu�_s Torres""}",821,781
10-10 ST  - CSM2004 best platform-,{NULL},822,782
1796-7,"{""David Cooper"",""Erik K Alexander""}",823,783
636-45,"{""Susanna C Larsson"",""Ann Burgaz"",""Alicja Wolk"",""Nicola Orsini""}",824,784
382-7,"{""R Condliffe"",""J Hurdman"",""J M Wild"",""D G Kiely"",""S Rajaram"",""A J Swift"",""C A Elliot"",""C Davies"",""C Hill"",""I Sabroe"",""C Johns""}",825,785
65-68-,"{""X. H. LYWXWF Wu""}",826,786
2063-8,"{""Amanda Devine"",""Nicole Austin"",""Richard L Prince"",""Kun Zhu"",""David Bruce""}",827,787
1337-45,"{""S. B. Venkateshiah"",""N. A. Collop""}",828,788
209-14,"{""Mark A Fogel"",""Michael V Di Maria"",""Matthew A Harris"",""Meryl S Cohen"",""Kevin K Whitehead""}",829,789
632-9,"{""T. V. Cloward"",""J. M. Walker"",""S. Rhondeau"",""R. J. Farney""}",830,790
1652-8,"{""Nobuhiko Emi"",""Masamitsu Yanada"",""Tomoki Naoe"",""Keitaro Matsuo""}",831,791
,{NULL},832,46
835-40,"{""Stephen A Geraci"",""Mohammed Kazi"",""Christian A Koch""}",833,792
639-49,"{""Kwok M Ho"",""Geoffrey J Dobb"",""Steven A R Webb""}",834,793
925-31,"{""Martinez-Indart L"",""Cacicedo J"",""del Hoyo"",""Gomez-Iturriaga A"",""Casquero F"",""Lopez J L"",""Bilbao P"",""O ""}",835,794
890-902,"{""M C Nevitt"",""L Palermo"",""H K Genant"",""R San Valentin"",""D M Black"",""R Epstein"",""S R Cummings""}",836,795
249-50,"{""C K Naspitz"",""J O Warner""}",837,796
366-74,"{""David B Hoyt"",""Sandro B Rizoli"",""Andrew J Baker"",""Eileen M Bulger"",""Wolfgang G Junger"",""Joseph Cuschieri"",""Shawn G Rhind"",""Pang N Shek""}",838,797
693-6; discussion 697 ST  - Value of intravenous cholangiography prior to laparoscopic cholecystectomy-,"{""S. Truong"",""K. H. Treutner"",""M. Jansen"",""C. Schraven"",""V. DA  - Jul DP  - NLM ET  - 1999/07/03 Schumpelick"",""J. Neuerburg""}",839,798
,{NULL},840,46
2024; author reply 2026-7,"{""Somjot S Brar"",""William A Gray""}",841,799
1068-1074,"{""S Y Chen"",""H Chen"",""H Y Li"",""J Zhang"",""Y H Hua""}",842,800
15-20,"{""J R Dettori"",""B D Pearson"",""C J Basmania"",""W M Lednar""}",843,801
,"{""C. Jayasumana"",""R. Gajanayake"",""S. Siribaddana""}",844,802
13-14,"{""S. Homola""}",845,803
969-75,"{""Konstantinos Nastos"",""Konstantinos Evangelou"",""Marilena Papaioannou"",""John Vlachogiannakos"",""Maria Gazouli"",""Apostolos Papalois"",""Christos Zeglinas"",""Ioannis Papaconstantinou"",""Panagis Lykoudis"",""Charalampos Tzathas"",""Anneza Yiallourou""}",846,804
525-531 ST  - How to appraise the effectiveness of treatment-,"{""Suzanne B. Stewart"",""Phillip Dahm"",""D DB  - rzh DO  - 10.4103/0970-1591.91446 DP  - EBSCOhost""}",847,805
1296-304,"{""E H Choy"",""D L Scott"",""P A Scott"",""G H Kingsley"",""C M Smith""}",848,806
3224,"{""Beth Anne Clavenna-Deane""}",849,807
390-8,"{""Ruud R M Bos"",""Gerry M Raghoebar"",""Pepijn F M Gielkens"",""Boudewijn Stegenga""}",850,808
435-441,"{""D. R. Sullivan"",""G. Netzer""}",851,809
750-758 9p,"{""Yusuf S"",""Fox KA"",""Chow CK"",""Anand SS"",""Jolly S"",""Rao-Melacini P""}",852,810
1039-46,"{""G Jayashree Jagadeesh"",""David L Nelson"",""Taizo Wada"",""Fabio Candotti""}",853,811
343-51,"{""A van Breda"",""M B von Bartheld"",""J T Annema""}",854,812
330-7,"{""S. A. Brown"",""F. B. Garry""}",855,813
,"{""NCT01153620 ""}",856,814
2826-34,"{""S. Lin"",""S. E. Nissen"",""K. Wolski"",""I. Sipahi"",""E. M. Tuzcu"",""S. J. Nicholls"",""T. Churchill"",""P. Schoenhagen"",""T. Crowe"",""C. Wang"",""A. Loyd"",""C. Apperson-Hansen"",""W. A. Magyar""}",857,815
1325-1332,"{""A. M. Hibbs"",""D. M. Black"",""J. A. F. Zupancic"",""A. Cnaan"",""P. L. Ballard"",""S. R. Wadlinger"",""L. Palermo"",""W. E. Truog"",""R. A. Ballard""}",858,816
A176,"{""R. Arabyat"",""D. W. Raisch""}",859,817
P3021,"{""Francitorra ME"",""Sanchez GS"",""Manrique CA"",""Velasco TT"",""Castany A R"",""Escriche XF"",""Fern����ndez CS"",""Fornell LL"",""���lvarez S���"",""Fern����ndez EA"",""Rodriguez MVF"",""Sim���_ MR"",""Mayo EP""}",860,818
,"{""Nk Shukla"",""Sn Das"",""P Gaur"",""Ak Singh""}",861,819
72-7,"{""Venancio Mart�_nez Su��rez""}",862,820
29-33,"{""Margarita Admetlla Falgueras"",""Josep Fust��� Sugra���es""}",863,821
531-9,"{""Perjohan Lindfors"",""Liselotte Jansson"",""Brjann Ljotsson"",""Lisa Falk"",""Erik Hedman"",""Christian Ruck"",""Amanda Wibron Vesterlund"",""Sergej Andreewitch"",""Nils Lindefors"",""Gerhard Andersson"",""Timo Hursti""}",864,822
217-24,"{""Michio Fukumizu"",""Marie J Hayes"",""Makiko Kaga"",""Jun Kohyama""}",865,823
CD001364,"{""I Marshall""}",866,824
759-60,"{""Andrea Tendas"",""Paolo de Fabritiis"",""Marco Giovannini"",""Daniela Piccioni"",""Roberto Palumbo"",""Alessio Pio Perrotti"",""Luca Cupelli"",""Teresa Dentamaro"",""Laura Scaramucci"",""Pasquale Niscola""}",867,825
,{NULL},868,46
