MeasureName,Stateavg,original_index,unique_index,count
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,960,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,961,14,37
heart failure patients given discharge instructions,al_hf-1,962,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,963,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,964,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,965,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,966,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,967,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,968,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,969,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,970,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,971,24,34
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,972,25,36
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,973,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,974,2,34
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,975,3,37
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,976,4,33
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,977,5,35
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,978,6,34
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,979,7,36
heart attack patients given aspirin at arrival,al_ami-1,980,8,30
heart attack patients given aspirin at discharge,al_ami-2,981,9,37
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,982,10,39
heart attack patients given smoking cessation advice/counseling,al_ami-4,983,11,40
heart attack patients given beta blocker at discharge,al_ami-5,984,12,38
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,985,13,37
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,986,14,37
heart failure patients given discharge instructions,al_hf-1,987,15,38
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,988,16,38
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,989,17,39
heart failure patients given smoking cessation advice/counseling,al_hf-4,990,18,36
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,991,19,38
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,992,20,36
pneumonia patients given smoking cessation advice/counseling,al_pn-4,993,21,39
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,994,22,36
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,995,23,36
pneumonia patients assessed and given influenza vaccination,al_pn-7,996,24,34
surgery pxtients who were txking hexrt drugs cxlled betx blockers before coming to the hospitxl who were kept on the betx blockers during the period just before xnd xfter their surgery,al_scip-card-2,997,107,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,998,1,38
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,999,2,34
