Creator,Actors,original_index,unique_index
"James Bartruff,Mitch Paradise","William Bumiller,Brenda Bakke,Merritt Butrick",6416,6357
"Lyn Freeman,Daniel Grodnik","Jack Palance,Martin Landau,Tarah Nutter",6417,6358
Larry Cohen,"David Carradine,Michael Moriarty,Candy Clark",6418,6359
"Jon George,Neill D. Hicks","John Friedrich,Adrian Zmed,Ernest Harden Jr.",6419,6360
"Eli Cantor,Robert King","Robert Lansing,Lisa Langlois,Franc Luz",6420,6361
"J.S. Cardone,Bill Ewing","Sarah Kendall,Frederick Flynn,Carol Kottenbrook",6421,6362
"Alan J. Adler,Michael Shoob","Robert Glaudini,Demi Moore,Luca Bercovici",6422,6363
"Andrew Droz Palermo,Neima Shahdadi","Kiernan Shipka,Timothée Chalamet,Elizabeth Reaser",6423,6364
"Richard Robinson,John Sayles","Bradford Dillman,Heather Menzies-Urich,Kevin McCarthy",6424,6365
"Hal Dresner,Daniel C. Striepeke","Strother Martin,Dirk Benedict,Heather Menzies-Urich",6425,6366
"Jerome Max,Tito Carpi","John Huston,Shelley Winters,Bo Hopkins",6426,6367
"Nicole Holofcener,Laura Lippman","Diane Lane,Elizabeth Banks,Dakota Fanning",6427,6368
Curt Allen,"Joseph Bologna,Dee Wallace,Richard Lynch",6428,6369
John Sayles,"Robert Forster,Robin Riker,Michael V. Gazzo",6429,6370
"David Anderson,Gabe Burnstein","Dolph Lundgren,Sara Malakul Lane,Lily Brooks O'Briant",6430,6371
"Bryan Bertino,Bryan Bertino","Natalie Alyn Lind,Emily Alyn Lind,Todd Stashwick",6431,6372
"Richard Robinson,Alan Caillou","William Shatner,Tiffany Bolling,Woody Strode",6432,6373
"James Callaway,Gerry Holland","Fritz Weaver,Gretchen Corbett,Jon Korkes",6433,6374
William Sachs,"Alex Rebar,Burr DeBenning,Myron Healey",6434,6375
"Robert Hutchison,Robert Blees","Ray Milland,Sam Elliott,Joan Van Ark",6435,6376
Bert I. Gordon,"Marjoe Gortner,Pamela Franklin,Ralph Meeker",6436,6377
"Thomas Page,William Castle","Bradford Dillman,Joanna Miles,Richard Gilliland",6437,6378
"Bert I. Gordon,George Worthing Yates","Richard Carlson,Susan Gordon,Lugene Sanders",6438,6379
"Don Holliday,Gene R. Kearney","Stuart Whitman,Janet Leigh,Rory Calhoun",6439,6380
"Graham Masterton,William Girdler","Tony Curtis,Susan Strasberg,Michael Ansara",6440,6381
"Robert Clouse,David Fisher","Joe Don Baker,Hope Alexander-Willis,Richard B. Shull",6441,6382
Warren Douglas,"Clint Walker,Martha Hyer,Keenan Wynn",6442,6383
David Seltzer,"Talia Shire,Robert Foxworth,Armand Assante",6443,6384
Brant Sersen,"Don Fanelli,Charlie Fersko,DJ Hazard",6444,6385
"Ovidio G. Assonitis,James Cameron","Tricia O'Neil,Steve Marachuk,Lance Henriksen",6445,6386
Michael Rogers,"Lee Majors,Karen Black,Margaux Hemingway",6446,6387
"William Grefe,Robert W. Morgan","Richard Jaeckel,Jennifer Bishop,Buffy Dee",6447,6388
"Nathan Erdel,Todd Rigney","Shane Beasley,Kelsey Carlisle,Ellie Church",6448,6389
"René Cardona Jr.,Carlos Valdemar","Arthur Kennedy,Carroll Baker,Lionel Stander",6449,6390
"Vidhu Vinod Chopra,Abhijat Joshi","Anton Yelchin,Chris Marquette,Vincent D'Onofrio",6450,6391
James Glickenhaus,"Robert Ginty,Samantha Eggar,Christopher George",6451,6392
"Anne Marisse,Herb Freed","Christopher George,Patch Mackenzie,E. Danny Murphy",6452,6393
Jim Van Bebber,"Paul Harper,Jim Van Bebber,Megan Murphy",6453,6394
"Aaron Butler,Paul Nicholas","Linda Blair,John Vernon,Sybil Danning",6454,6395
"Robert Collector,Gary Drucker","Linda Blair,Sylvia Kristel,Sue Kiel",6455,6396
"Ted Nicolaou,Mischa Tomski","Anthony Steffen,Ajita Wilson,Cristina Lay",6456,6397
Mark Patrick Carducci,"Clyde Hayes,Leilani Sarelle,Donna Locke",6457,6398
Evan M. Wiener,"Bella Thorne,Kyra Sedgwick,Frank Grillo",6458,6399
"Jacob Forman,Thomas S. Hammock","Haley Lu Richardson,Booboo Stewart,Max Charles",6459,6400
James Booth,"Shô Kosugi,James Booth,Donna Kei Benz",6460,6401
"Gary Conway,Gary Conway","Michael Dudikoff,Steve James,Larry Poindexter",6461,6402
"James Bruner,Chuck Norris","Chuck Norris,Richard Lynch,Melissa Prophet",6462,6403
"Robert Short,Wallace C. Bennett","Shô Kosugi,Lewis Van Bergen,Robin Evans",6463,6404
"Paul Aaron,Leigh Chapman","Chuck Norris,Karen Carlson,Lee Van Cleef",6464,6405
"Greg Latter,George Saunders","David Bradley,Lee Reyes,Anne Dupont",6465,6406
"Avi Kleinberger,Gideon Amir","David Bradley,Steve James,Marjoe Gortner",6466,6407
"Paul De Mielche,Avi Kleinberger","Michael Dudikoff,Steve James,Judie Aronson",6467,6408
James R. Silke,"Shô Kosugi,Keith Vitali,Virgil Frye",6468,6409
Emmett Alston,"Shô Kosugi,Brent Huff,Emilia Crow",6469,6410
James Booth,"Michael Dudikoff,Steve James,James Booth",6470,6411
"Marc Siegler,Bruce D. Clark","Edward Albert,Erin Moran,Ray Walston",6471,6412
Ted Nicolaou,"Diane Franklin,Mary Woronov,Gerrit Graham",6472,6413
"Tim Curnen,Jim Wynorski","Jesse Vint,Dawn Dunlap,June Chadwick",6473,6414
"Jack Deerson,Jack Deerson","Elizabeth Plumb,Alisa Courtney,John Aprea",6474,6415
"Bill Condon,Michael Laughlin","Paul Le Mat,Nancy Allen,Diana Scarwid",6475,6416
Larry Cohen,"Michael Moriarty,Andrea Marcovicci,Garrett Morris",6476,6417
"Harry Bromley Davenport,Iain Cassie","Philip Sayer,Bernice Stegers,Danny Brainin",6477,6418
"Bill Bryden,Steven Smith","David Carradine,Stacy Keach,Dennis Quaid",6478,6419
"Brad Barber,Scott Christopherson",,6479,6420
J. Davis,"Jay Duplass,Linas Phillips,Leonora Pitts",6480,6421
"Micah Bloomberg,Benjamin Dickinson","Benjamin Dickinson,Nora Zehetner,Dan Gill",6481,6422
Harry Kleiner,"Rita Hayworth,Stewart Granger,Charles Laughton",6482,6423
"Alex R. Johnson,Alex R. Johnson","Beth Broderick,James Landry Hébert,Skyy Moore",6483,6424
Ray Wright,"Renée Zellweger,Ian McShane,Jodelle Ferland",6484,6425
"Robert Hardy Andrews,Samuel Fuller","Steve Cochran,Philip Carey,Mari Aldon",6485,6426
"Rick Moody,James Schamus","Kevin Kline,Joan Allen,Sigourney Weaver",6486,6427
,"LaMonta Caldwell,Miguel Cortez,Stephen Gillespie",6487,6428
,"The Men of Battle Company 2nd of the 503rd Infantry Regiment 173rd Airborne Brigade Combat Team,Juan 'Doc Restrepo,Dan Kearney",6488,6429
,"Zack Bazzi,Duncan Domey,Ben Flanders",6489,6430
,"Nathan Harris,Ashley Harris,The Marines of Echo Company",6490,6431
"Jane Hawksley,James MacManus","Jonathan Rhys Meyers,Radha Mitchell,Yun-Fat Chow",6491,6432
,,6492,653
"Yuri Zeltser,Grace Cary Bickley","Jeff Goldblum,Anthony LaPaglia,Liev Schreiber",6493,6433
Lester Cole,"Werner Klemperer,Ruta Lee,Donald Buka",6494,6434
"Philip Dunne,Rowland Brown","Tyrone Power,Dorothy Lamour,Edward Arnold",6495,6435
"Barré Lyndon,Patrick Hamilton","Laird Cregar,Linda Darnell,George Sanders",6496,6436
"Zane Grey,Robert Carson","Robert Young,Randolph Scott,Dean Jagger",6497,6437
"Harry Kleiner,Marty Holland","Alice Faye,Dana Andrews,Linda Darnell",6498,6438
"Arthur Laurents,Libbie Block","James Mason,Barbara Bel Geddes,Robert Ryan",6499,6439
"Seton I. Miller,Seton I. Miller","James Cagney,Margaret Lindsay,Ann Dvorak",6500,6440
"Maxwell Anderson,Charles Lederer","James Cagney,Shirley Jones,Roger Smith",6501,6441
"Norman Reilly Raine,Warren Duff","James Cagney,George Raft,Jane Bryan",6502,6442
"Beirne Lay Jr.,Frank D. Gilroy","James Cagney,Dennis Weaver,Ward Costello",6503,6443
"Eric Knight,R.C. Sherriff","Tyrone Power,Joan Fontaine,Thomas Mitchell",6504,6444
"Jacques Companéez,Simon Gantillon","George Sanders,Lucille Ball,Charles Coburn",6505,6445
Shawn Slovo,"Derek Luke,Tim Robbins,Bonnie Henna",6506,6446
"David Ridgen,Nicolas Rossier","Musa Abu-Hashhash,Nidal Barham,Noam Chomsky",6507,6447
"Brad Keene,Takashi Shimizu","Matthew Knight,Shawnee Smith,Mike Straub",6508,6448
Raoul Peck,,6509,6449
"Stephen Susco,Takashi Shimizu","Amber Tamblyn,Edison Chen,Arielle Kebbel",6510,6450
Max Mayer,"Hugh Dancy,Rose Byrne,Peter Gallagher",6511,6451
"Susan Minot,Michael Cunningham","Vanessa Redgrave,Toni Collette,Claire Danes",6512,6452
Guy Jenkin,"Jessica Alba,Brenda Blethyn,Hugh Dancy",6513,6453
"Ehren Kruger,Christopher Landon","Agnes Bruckner,Hugh Dancy,Olivier Martinez",6514,6454
Coleman Hough,"Debbie Doebereiner,Omar Cowan,Dustin James Ashley",6515,6455
"Stanislaw Lem,Steven Soderbergh","George Clooney,Natascha McElhone,Ulrich Tukur",6516,6456
"Terrel Seltzer,Ellen Simon","Michelle Pfeiffer,George Clooney,Mae Whitman",6517,6457
"Don Tracy,Steven Soderbergh","Peter Gallagher,Elisabeth Shue,Alison Elliott",6518,6458
"Alejandro González Iñárritu,Michael Punke","Tom Hardy,Leonardo DiCaprio,Domhnall Gleeson",6519,6459
"Peter Craig,Danny Strong","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",6520,2074
,"Steve McQueen,Chad McQueen,John Sturges",6521,6460
"Nathan Parker,Ken Bruen","Jason Statham,Paddy Considine,Aidan Gillen",6522,6461
"Derek Cianfrance,Joey Curtis","Christina Chang,Gary Cianfrance,John Whaley",6523,6462
"Joshua Marston,Julian Sheppard","Rachel Weisz,Michael Shannon,Kathy Bates",6524,6463
"Matt Damon,Paul Greengrass","Matt Damon,Alicia Vikander,Julia Stiles",6525,6464
,"Urijah Faber,Jens Pulver,Alex Karalexis",6526,6465
Pete Travis,Rachel Weisz,6527,6466
Craig Zobel,"Ann Dowd,Dreama Walker,Pat Healy",6528,6467
"Gardner Fox,Seth Grahame-Smith",Ezra Miller,6529,6468
"Joe Robert Cole,Joe Robert Cole","Carmen Argenziano,Mekenna Melvin,Natalie Smyka",6530,6469
"Josh Adams,Marcus Finkel","Josh Adams,James Burch,Ronnie Collins",6531,6470
Joe Miale,"Bryan Cartago,Gui DaSilva-Greene,Megan Kathleen Duffy",6532,6471
Justin Lee,Andrew Garrettson,6533,6472
,,6534,653
,"Matt Caplan,Bruce Greene,Ben Palacios",6535,6473
"Neill Blomkamp,Dan O'Bannon","Sigourney Weaver,Michael Biehn",6536,6474
"Mary Webb,Michael Powell","Jennifer Jones,David Farrar,Cyril Cusack",6537,6475
Joan Carr-Wiggin,"Blake Boyd,Pascale Bussières,Tom Cavanagh",6538,6476
Dan Sallitt,"Tallie Medel,Sky Hirschkron,Aundrea Fares",6539,6477
Dan Sallitt,"Strawn Bovee,Gary Bryden,Dylan McCormick",6540,6478
Andrew T. Betzer,"Gabriel Croft,Jay Featherstone,Johnathan Frasier",6541,6479
Eliza Hittman,"Gina Piersanti,Giovanna Salimeni,Ronen Rubinstein",6542,6480
,,6543,653
,Cat Power,6544,6481
Roberto Minervini,"Daniel Blanchard,Melissa McKinney,Vernon Wilbanks",6545,6482
"Roberto Minervini,Denise Ping Lee","Josefina Barrios,Christin Carlson,Emma Carlson",6546,6483
,"Erick Bowen,Rodecoe Dunlow,Kerron Hayes",6547,6484
Luke Passmore,"Shawn Ashmore,Brianna Barnes,Ashley Bell",6548,6485
"John Fuhrman,John Fuhrman","Michael Agostini,Marshall Bell,Scott C. Brown",6549,6486
Aimee Lagos,"Brittany Snow,Evan Ross,Sharon Conley",6550,6487
"Kevin Burke,Federico Fernandez-Armesto","Tom Sizemore,Sarah Habel,Dominic Monaghan",6551,6488
"Alexandre Coscas,Robert Crombie","Christian Slater,Sean Bean,Ving Rhames",6552,6489
"Michael Brady,David E. Kelley","Peter Gallagher,Michelle Pfeiffer,Claire Danes",6553,6490
"Jacquelyn Mitchard,Stephen Schiff","Michelle Pfeiffer,Treat Williams,Whoopi Goldberg",6554,6491
"Jane Smiley,Laura Jones","Michelle Pfeiffer,Jessica Lange,Jennifer Jason Leigh",6555,6492
"LouAnne Johnson,Ronald Bass","Michelle Pfeiffer,George Dzundza,Courtney B. Vance",6556,6493
"Ismet Prcic,Malik Vitthal","John Boyega,Rotimi,Glenn Plummer",6557,6494
"John Wagner,Vince Locke","Viggo Mortensen,Maria Bello,Ed Harris",6558,6495
Theophilus Lacey,"John Allen Phillips,Lance Aaron,Aidan Bristow",6559,6496
"Jessica Boucher,Jessica Boucher","Luciana Faulhaber,Jeff Berg,Hailey Heisick",6560,6497
"Geoff Lerer,Geoff Lerer","Hallie Goodman,Darin Guerrasio,Andrew Kaempfer",6561,6498
Marc-Andre Samson,"Shiloh Fernandez,Chase Mallen,Joseph Benz",6562,6499
"William Dickerson,Dwight Moody","Kate Burton,Cassidy Freeman,Lucy Griffiths",6563,6500
Jeremy Gardner,"Jeremy Gardner,Adam Cronheim,Niels Bolle",6564,6501
Riley Stearns,"Leland Orser,Mary Elizabeth Winstead,Chris Ellis",6565,6502
DeWitt Bodeen,"Simone Simon,Tom Conway,Kent Smith",6566,6503
"Jemaine Clement,Taika Waititi","Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer",6567,6504
"James DeMonaco,James DeMonaco","Frank Grillo,Carmen Ejogo,Zach Gilford",6568,6505
"Juliet Snowden,Stiles White","Olivia Cooke,Ana Coto,Daren Kagasoff",6569,6506
"Jon Croker,Jon Croker","Helen McCrory,Jeremy Irvine,Phoebe Fox",6570,6507
"Craig Rosenberg,Oren Moverman","Jared Harris,Sam Claflin,Olivia Cooke",6571,6508
Bobcat Goldthwait,"Alexie Gilmore,Bryce Johnson,Laura Montagna",6572,6509
Bruce Joel Rubin,"Michael Keaton,Nicole Kidman,Bradley Whitford",6573,6510
"Blair Erickson,Daniel J. Healy","Katia Winter,Ted Levine,Michael McMillian",6574,6511
"David Jung,David Jung","Shane Johnson,Ella Anderson,Cara Pifko",6575,6512
"Fyodor Dostoevsky,Julius J. Epstein","Yul Brynner,Maria Schell,Claire Bloom",6576,6513
Luiso Berdejo,"Junio Valverde,Leticia Dolera,Miriam Giovanelli",6577,6514
"Michael D. Akers,Sandon Berg","Leo Minaya,Jack Kesy,Benjamin Budd",6578,6515
"G.A. Hauser,Wendell Lu","Rebekah Apodaca,Lena Ann Balambao,Cristo Cabrera",6579,6516
David Lewis,"Matthew Montgomery,Tad Coughenour,Caleb Dorfman",6580,6517
Jon Garcia,"Nick Ferrucci,Benjamin Farmer,Brian Allard",6581,6518
Damion Dietz,"Paul Preiss,Amy Lindsay,Candy Clark",6582,6519
Fred M. Caruso,"Lena Hall,Daniel Robinson,Joey Dudding",6583,6520
"Matthew Rettenmund,Philip Pierce","Derek Magyar,George Jonson,Patrick Bauchau",6584,6521
J.C. Calciano,"Nicholas Downs,David Loren,Adam Huss",6585,6522
J.C. Calciano,"Houston Rhines,Noah Schuffman,Matt Lewis",6586,6523
"Casper Andreas,Jesse Archer","Jesse Archer,Paul Haje,Charlie David",6587,6524
"Casper Andreas,Andy Zeffer","Matthew Ludwinski,Allison Lane,Michael Medico",6588,6525
"Cory Krueckeberg,Tom Gustafson","Tanner Cohen,Wendy Robie,Judy McLane",6589,6526
Russell P. Marleau,"Tad Hilgenbrink,Brett Chukerman,Aldevina Da Silva",6590,6527
Rob Williams,"Steve Callahan,Matthew Montgomery,David Pevsner",6591,6528
Alan Brown,"Ryan Steele,Reed Luplau,Catherine Miller",6592,6529
"Judith Rossner,Richard Brooks","Diane Keaton,Richard Gere,Tuesday Weld",6593,6530
"David Lowery,Yen Tan","Bailey Bass,Marcus DeAnda,Yesenia Garcia",6594,6531
"Kevin Miranda,Todd Verow","Yann de Monterno,Florence d'Azémar,Kevin Miranda",6595,6532
Steven Vasquez,"Laura Reilly,Michael Brent,Taylor Caldwell",6596,6533
"Wade Gasque,Mark Strano","Mark Strano,Johnny Hazzard,Gregory Marcel",6597,6534
Mark Bessenger,"Mark Cirillo,Scott Sell,David Alanson Bradberry",6598,6535
"Harry Shumanski,Bernard Shumanski","Forth Richards,Benji Crisnis,Theo Montgomery",6599,6536
J.C. Calciano,"Matthew Bridges,Adam Bucci,Michael Adam Hamilton",6600,6537
David Au,"Sharon Omi,Teddy Chen Culver,Nicole Sullivan",6601,6538
"Eric Eisenbrey,Todd Stephens","Jonah Blechman,Jake Mosser,Aaron Michael Davies",6602,6539
"Edmund Entin,Brent Hartinger","Cameron Deane Stewart,Justin Deeley,Meaghan Martin",6603,6540
Tennyson Bardwell,"Michael McMillian,Lea Coco,Steve Fletcher",6604,6541
Greg Chandler,"Chris Graham,Andrew Glaszek,Jeremy Neal",6605,6542
Bryan Kelly,"Maggie Fernald,Jenna Kramer,Paul Shaia",6606,6543
"Corey Norman,Corey Norman","Brian Chamberlain,Casey Turner,Anne Bobby",6607,6544
"Matthew Douglas Grzeszak,Ross Scharphorn","Ron Shedd,Chuck Harb,Randy Galaszewski",6608,6545
"Cam Clark,Joe Leatherman","Delaney Hathaway,J.R.S. Storch,Richard Hackel",6609,6546
"David Oman,Jim Vines","James Oliver,Jonathan Mangum,Alison Raimondi",6610,6547
"Tristan James Jensen,Tristan James Jensen","Riley Yeary,Angelina Masciopinto,Kaleb Miller",6611,6548
Ashlin Halfnight,"Scotty Crowe,Jessica Cummings,Nerea Duhart",6612,6549
Larry Rosen,"Esin Varan,Anthony DiCarlo,Gloria Chung",6613,6550
"Sophia Cacciola,Michael J. Epstein","Allix Mortis,Chris Bernardi,Rachel Leah Blumenthal",6614,6551
"Kyle Broom,Kyle Broom","Jesse Woodrow,Tamzin Brown,Chris Carlisle",6615,6552
"Angel Lebon,Brian James Southard","Brian James Southard,Christina Collard,Dan Lynn",6616,6553
"Natalie Jones,Aaron Keeling","Emily Goss,Taylor Bottles,Cathy Barnett",6617,6554
"Adam Hartley,Matt Stuertz","Adam Hartley,Matt Stuertz",6618,6555
"Eric Badros,Eric Badros","Taylor Graham,Heather Weeks,Lavinia Postolache",6619,6556
Brian Naydol,"Sean Taylor,Tess Cinpinski,Luke Balek",6620,6557
"Bruce W. Durbin,Suneel Tripuraneni","Kelsey Deanne,Chase Austin,Jessica Willis",6621,6558
Zachary Beckler,"Zachary Beckler,Christopher Carullo,Peg O'Keef",6622,6559
"James Tucker,Kelsey Zukowski","Kelsey Zukowski,Laura Godown-Mortensen,Felissa Rose",6623,6560
Josh Jacobs,"Cathy Baron,Jon Briddell,Erin Campbell",6624,6561
Victoria Sutton,"Jake Bowman,Jessica Willis,Gerald Crum",6625,6562
"Mark Rapaport,Daniel Robbins","Gene Jones,Ben Getz,Kyle Kirkpatrick",6626,6563
"Josh Kim,Rattawut Lapcharoensap","Toni Rakkaen,Ingkarat Damrongsakkul,Thira Chutikul",6627,6564
Chloé Zhao,"Irene Bedard,Dakota Brown,Cat Clifford",6628,6565
"Cliff McClelland,Cliff McClelland","Laura Bailey,Karis Paige Bryant,Tom Zembrod",6629,6566
Brian Lupo,"Leada Ghareaghadje,Lindsay Coffelt,Donovan Vincent Kit",6630,6567
"Tom Komisar,Tom Komisar","Tom Komisar,Daniel Murphy,Paul Arnone",6631,6568
"Joshua Bane,Hassan Zee","Chris Pflueger,Jena Hunt,Julian Larach",6632,6569
"Rodrigo Mattos,Jeff Sun","Rodrigo Mattos,Nicole Alexandra Lvova,Sarah Hess",6633,6570
"Daniel Defoe,Walon Green","Aidan Quinn,Ade Sapara,Elvis Payne",6634,6571
"John C. Higgins,Ib Melchior","Paul Mantee,Victor Lundin,Adam West",6635,6572
"Alessandro Calza,Yen Tan","Chuck Blaum,Adam Neal Smith,Ethel Lung",6636,6573
"The Vicious Brothers,Stuart Ortiz","Richard Harmon,Shawn C. Phillips,Jennica Fulton",6637,6574
Michael Cohn,"Dermot Mulroney,Austin Abrams,Luke Kleintank",6638,6575
"Paul Dale,Brett Roberts","Brandon Chapman,George Hardy,Tom Bubrig",6639,6576
"Ivan Djurovic,Dave Parker","Ivan Djurovic,Rick Irwin,Sanny van Heteren",6640,6577
"Simon Levy,Michel W. Potts","Andrew Stevens,Shannon Tweed,Tim Russ",6641,6578
Steve Mims,"Alex Dobrenko,Ashley Spillers,Sam Eidson",6642,6579
"Tom Citrano,Andrew Stevens","Andrew Stevens,Tanya Roberts,Cooper Huckabee",6643,6580
"Andrew Stevens,Andrew Stevens","Andrew Stevens,Shannon Tweed,Tracy Tweed",6644,6581
"Chris Mancini,Chris Mancini","Stephen Rea,Bruce Payne,Dimo Alexiev",6645,6582
"Deon Taylor,Michael J. Pagan","Nikki Reed,Keith David,Brad Dourif",6646,6583
"Robert Dean Klein,Craig Singer","Jamie-Lynn Sigler,Patrick Renna,David Clayton Rogers",6647,6584
"Jace Anderson,Adam Gierasch","Jessica Lowndes,Ross Kohn,Ross McCall",6648,6585
Jeffrey Reddick,"Jenna Dewan Tatum,Katie Stuart,Chad Faust",6649,6586
"Brian Sieve,Eric Kripke","Danielle Savre,Matt Cohen,Chrissy Calhoun",6650,6587
"Flint Dille,John Zuur Platten","Agnes Bruckner,Jonathan Jackson,Meagan Good",6651,6588
"Michael Biehn,Reed Lackey","Michael Biehn,Jennifer Blanc,Ryan Honey",6652,6589
"Joe Colleran,Joseph Mungra","Brittany Murphy,Julian Morris,Shantel VanSanten",6653,6590
"William Brent Bell,Matthew Peterman","A.J. Cook,Sebastian Roché,Vik Sahay",6654,6591
"Bradley Marcus,Kevin Marcus","Tia Carrere,Michael Biehn,Evie Thompson",6655,6592
Ari Schlossberg,"Robert De Niro,Dakota Fanning,Famke Janssen",6656,6593
Quentin Dupieux,"Alain Chabat,Jonathan Lambert,Élodie Bouchez",6657,6594
"Daniel Farrands,Philip Nutman","William Atherton,Blythe Auffarth,Blanche Baker",6658,6595
"Gavin Scott,Terry Jones","Kate Beckinsale,Simon Pegg,Robin Williams",6659,6596
"Mike Cahill,Brit Marling",,6660,6597
Steve Adams,"Ben Stiller,Jack Black,Rachel Weisz",6661,6598
Amy Heckerling,"Jason Biggs,Mena Suvari,Zak Orth",6662,6599
"Adam Leff,Mitchell Peck","Pauly Shore,Stephen Baldwin,William Atherton",6663,6600
Judd Apatow,"Adam Sandler,Seth Rogen,Leslie Mann",6664,6601
"Martin Hynes,Peter Tolan","Jason Lee,Tom Green,Leslie Mann",6665,6602
"Bruce Jay Friedman,Neil Simon","Charles Grodin,Cybill Shepherd,Jeannie Berlin",6666,6603
"Lowell Ganz,Babaloo Mandel","Drew Barrymore,Jimmy Fallon,Jason Spevack",6667,6604
"George Zaloom,Shawn Schepps","Sean Astin,Brendan Fraser,Pauly Shore",6668,6605
"Bill Kelly,Bill Kelly","Brendan Fraser,Alicia Silverstone,Christopher Walken",6669,6606
"Jay Scherick,David Ronn","Matthew Perry,Elizabeth Hurley,Bruce Campbell",6670,6607
,,6671,653
,,6672,653
Joel Potrykus,"Joshua Burge,Joel Potrykus,Teri Ann Nelson",6673,6608
,"Marcus Bachmann,Michele Bachmann,Rick Santorum",6674,6609
"Kate Johnston,Kris Swanberg","Kristin Davis,Samantha Newman,Bill Ross IV",6675,6610
Paul Harrill,"Ashley Shelton,Bryce Johnson,Linds Edwards",6676,6611
,"William Zanders,Bryan Zanders,Kentrell Zandrs",6677,6612
,Sam Berns,6678,6613
,"Joaquin Phoenix,Nicole Kidman,Helen Hunt",6679,6614
,"Bob J. Berlin,Myung Han,Carol Hogan",6680,6615
,,6681,653
,"Kit Gruelle,Deanna Walters",6682,6616
"Francisco Bello,Samantha Buck","Alyce Barnhardt,Carla Byrd,Robert Caspar",6683,6617
,"James Bing,Jeremy Bing,Rosalie Black",6684,6618
"Greg O'Toole,Martha Shane","George Tiller,Warren Hern,Leroy Carhart",6685,6619
,,6686,653
,"Ed Wolf,Daniel Goldstein,Guy Clark",6687,6620
,"Dave Hoover,George Mendonça,Rodney Brooks",6688,6621
Charles Ferguson,"Campbell Scott,Gerald Burke,Ali Fadhil",6689,6622
,"Megan Ambuhl Graner,Javal Davis,Ken Davis",6690,6623
Eugene Jarecki,"Gore Vidal,John McCain,Ken Adelman",6691,6624
"Mark Bailey,Keven McAlester","Richard Nixon,Henry Kissinger,Stuart Herrington",6692,6625
,"Edward Snowden,Glenn Greenwald,William Binney",6693,6626
Brett Morgen,"Aaron Burckhard,Chad Channing,Don Cobain",6694,6627
"Karin Steinberger,Marcus Vetter","Martin Armstrong,Vicky Armstrong,Oliver Brown",6695,6628
,,6696,653
Frederick Wiseman,,6697,6629
Jesse Moss,"Jay Reinke,Keegan Edwards",6698,6630
,,6699,653
Iva Radivojevic,Iva Radivojevic,6700,6631
Josh Alexander,,6701,6632
"Kirk Marcolina,Thomas G. Miller",,6702,6633
,"Nina Masseria,Floyd Goode,Josephine Goode",6703,6634
Marc Fienberg,"Paul Campbell,Andy Griffith,Doris Roberts",6704,6635
"Pearry Reginald Teo,Chad Michael Ward","Robert Brettenaugh,Alexandra Bard,James Adam Lim",6705,6636
Zalman King,"Malena Morgan,Christos Vasilopoulos,Kayla Jane",6706,6637
Carter,"James Franco,Catherine Keener,Fallon Goodson",6707,6638
Alex Winter,"Nicolas Christin,Cindy Cohn,Joshua L. Dratel",6708,6639
"Joshua Baerwald,William T. Smith","Jason Pace,Sean Kanan,Betsy Russell",6709,6640
"Teena Booth,Robert Nathan","Michael O'Neill,Ernie Hudson,Macy Gray",6710,6641
"Amir Bar-Lev,Dave McKenna",,6711,6642
,"Aileen Wuornos,Nick Broomfield,Terry Humphreys-Slay",6712,6643
"William Gazecki,Dan Gifford","Dan Gifford,Clive Doyle,Jack Harwell",6713,6644
,"Otis Redding,Jimi Hendrix,Ravi Shankar",6714,6645
,"Norman Yarborough,Houston Elmore,Phil Sparks",6715,6646
Marshall Curry,"Jen Bluestein,Cory Booker,Bill Bradley",6716,6647
,"Jim Lovell,Kenneth Mattingly,Russell Schweickart",6717,6648
"Judith Coburn,Rob Epstein,Carter Wilson","Harvey Fierstein,Harvey Milk,Anne Kronenberg",6718,6649
,"Dwight D. Eisenhower,William Marshall,Georges Bidault",6719,6650
Stephen Hawking,"Stephen Hawking,Isobel Hawking,Janet Humphrey",6720,6651
,,6721,653
,"Michael Dowd,Ken Eurell,Walter Yurkiw",6722,6652
Dana Nachman,"Jack Cummings,Jackie Cummings,Allen Grafton",6723,6653
Ron Nyswaner,"Julianne Moore,Ellen Page,Steve Carell",6724,6654
Nikole Beckwith,"Saoirse Ronan,Cynthia Nixon,Jason Isaacs",6725,6655
Nathan Parker,"Kristen Stewart,Nicholas Hoult,Guy Pearce",6726,6656
"Nikole Beckwith,Gaby Dellal","Naomi Watts,Elle Fanning,Susan Sarandon",6727,6657
"Amy Andelson,Emily Meyer","Sharni Vinson,Rick Malambri,Adam G. Sevani",6728,6658
"Amanda Brody,Duane Adler","Kathryn McCormick,Ryan Guzman,Cleopatra Coleman",6729,6659
"Toni Ann Johnson,Karen Barna","Robert Hoffman,Briana Evigan,Cassie Ventura",6730,6660
"Duane Adler,John Swetnam","Ryan Guzman,Briana Evigan,Adam G. Sevani",6731,6661
"Jarrad Paul,Andrew Mogel","Jack Black,James Marsden,Kathryn Hahn",6732,6662
Andrew Niccol,"Ethan Hawke,January Jones,Zoë Kravitz",6733,6663
Gren Wells,"Zoë Kravitz,Robert Patrick,Robert Sheehan",6734,6664
