year           ,language                                                                                 ,country                                                                                                  ,duration      ,rating_value    ,genre                                                                                  ,Cluster
1976           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.3             ,Documentary                                                                            ,-1
1978           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.2             ,"Comedy,Drama                                                                         ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,5.7             ,Comedy                                                                                 ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.2             ,Drama                                                                                  ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,93 min        ,5.9             ,"Horror,Thriller                                                                      ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.2             ,"Action,Biography,Drama                                                               ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.4             ,"Comedy,Drama                                                                         ",-1
1977           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.7             ,"Action,Adventure,Biography                                                           ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.9             ,Comedy                                                                                 ,-1
1969           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.7             ,"Comedy,Drama                                                                         ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,95 min        ,5.7             ,"Comedy,Romance                                                                       ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,6.0             ,"Comedy,Drama,Romance                                                                 ",-1
1976           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.2             ,"Horror,Thriller                                                                      ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.0             ,Documentary                                                                            ,-1
1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,"Comedy,Romance                                                                       ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",89 min        ,5.6             ,"Action,Crime,Mystery                                                                 ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.4             ,"Action,Crime,Mystery                                                                 ",-1
1996           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.4             ,"Action,Adventure,Thriller                                                            ",-1
1988 1989 1990 ,English                                                                                  ,USA                                                                                                      ,1 hr. 38 min. ,                ,"Drama,Action & Adventure                                                             ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,94 min        ,6.5             ,"Comedy,Drama                                                                         ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.7             ,"Horror,Thriller                                                                      ",-1
1987           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.1             ,"Drama,Romance                                                                        ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,5.6             ,"Action,Adventure,Comedy                                                              ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,100 min       ,5.6             ,"Comedy,Drama                                                                         ",-1
1989           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,"Comedy,Drama,Romance                                                                 ",-1
1987           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.0             ,"Comedy,Drama,Romance                                                                 ",-1
1986           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.6             ,"Comedy,Drama                                                                         ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,92 min        ,5.8             ,Comedy                                                                                 ,-1
2006           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.5             ,"Documentary,Comedy,Horror                                                            ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.7             ,Horror                                                                                 ,-1
2008           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Horror,Thriller                                                                      ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.8             ,Horror                                                                                 ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.3             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,7.6             ,"Horror,Thriller                                                                      ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.3             ,Horror                                                                                 ,-1
2014           ,"English,French,American Sign Language                                                  ",USA                                                                                                      ,88 min        ,5.8             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.2             ,Horror                                                                                 ,-1
1999           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.4             ,"Drama,Romance                                                                        ",-1
2006           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.0             ,Horror                                                                                 ,-1
2012           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.4             ,Horror                                                                                 ,-1
1979           ,English                                                                                  ,USA                                                                                                      ,92 min        ,5.6             ,"Comedy,Drama,Romance                                                                 ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.8             ,"Horror,Thriller                                                                      ",-1
2006           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",89 min        ,7.6             ,"Comedy,Drama                                                                         ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.8             ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.8             ,Drama                                                                                  ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,"Horror,Thriller                                                                      ",5
2006           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",98 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.9             ,"Comedy,Drama,Romance                                                                 ",-1
2005 2006 2007 ,English                                                                                  ,USA                                                                                                      ,              ,"3.1/10,3.6/10 ",Comedy                                                                                 ,-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",90 min        ,7.0             ,"Comedy,Romance                                                                       ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2006           ,"English,French                                                                         ","UK,USA                                                                                                 ",101 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,95 min        ,6.3             ,Drama                                                                                  ,-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.0             ,"Comedy,Drama                                                                         ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.6             ,"Comedy,Drama                                                                         ",-1
1995 1996 1997 ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",1 hr. 24 min. ,6.7/10          ,"Comedy,Drama,Romance                                                                 ",-1
1998           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,6.7             ,"Comedy,Romance                                                                       ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.5             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",100 min       ,6.2             ,"Comedy,Drama,Romance                                                                 ",-1
1997           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.3             ,"Comedy,Drama                                                                         ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.8             ,Drama                                                                                  ,-1
1996           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.4             ,Comedy                                                                                 ,-1
1996           ,English                                                                                  ,USA                                                                                                      ,93 min        ,5.7             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.7             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,93 min        ,6.0             ,"Horror,Thriller                                                                      ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,7.2             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",95 min        ,5.6             ,"Horror,Thriller                                                                      ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,              ,6.9             ,"Comedy,Drama                                                                         ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,              ,6.6             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",94 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.2             ,Horror                                                                                 ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,              ,                ,Drama                                                                                  ,2
2012           ,English                                                                                  ,USA                                                                                                      ,98 min        ,6.0             ,"Horror,Thriller                                                                      ",-1
1977           ,English                                                                                  ,USA                                                                                                      ,91 min        ,7.2             ,"Horror,Thriller                                                                      ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,100 min       ,                ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.0             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,7.1             ,"Horror,Thriller                                                                      ",-1
1988           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.3             ,"Comedy,Drama                                                                         ",-1
2015           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.7             ,"Horror,Thriller                                                                      ",-1
1998           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,6.1             ,"Action,Adventure,Comedy                                                              ",-1
2011           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.2             ,"Adventure,Comedy,Sci-Fi                                                              ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.3             ,Horror                                                                                 ,-1
2006           ,English                                                                                  ,USA                                                                                                      ,90 min        ,5.6             ,Horror                                                                                 ,-1
2013           ,English                                                                                  ,USA                                                                                                      ,101 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.4             ,"Horror,Thriller                                                                      ",-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",100 min       ,7.3             ,"Horror,Thriller                                                                      ",-1
1967           ,English                                                                                  ,"UK,USA                                                                                                 ",91 min        ,7.3             ,"Comedy,Drama                                                                         ",-1
2012           ,"English,French                                                                         ","UK,USA                                                                                                 ",90 min        ,7.1             ,"Comedy,Drama,Romance                                                                 ",-1
2009           ,English                                                                                  ,USA                                                                                                      ,91 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.6             ,Horror                                                                                 ,-1
1998           ,English                                                                                  ,"UK,USA                                                                                                 ",89 min        ,7.3             ,"Comedy,Drama,Romance                                                                 ",-1
1988           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.5             ,"Horror,Thriller                                                                      ",-1
1989 1990 1991 ,English                                                                                  ,USA                                                                                                      ,1 hr. 42 min. ,                ,Drama                                                                                  ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,98 min        ,5.6             ,"Horror,Thriller                                                                      ",-1
2015           ,"English,Spanish                                                                        ",USA                                                                                                      ,91 min        ,7.1             ,"Horror,Thriller                                                                      ",-1
2010           ,"English,French                                                                         ","USA,United Arab Emirates                                                                               ",100 min       ,6.8             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.0             ,"Horror,Thriller                                                                      ",-1
1988 1989 1990 ,English                                                                                  ,USA                                                                                                      ,1 hr. 31 min. ,5/10            ,Comedy                                                                                 ,-1
2005           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.8             ,Drama                                                                                  ,-1
1986           ,English                                                                                  ,USA                                                                                                      ,92 min        ,7.1             ,Drama                                                                                  ,-1
2012           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,6.4             ,Horror                                                                                 ,-1
2012           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.6             ,"Horror,Thriller                                                                      ",-1
1988           ,English                                                                                  ,"UK,USA                                                                                                 ",97 min        ,6.5             ,"Horror,Thriller                                                                      ",-1
1996           ,English                                                                                  ,USA                                                                                                      ,95 min        ,7.0             ,"Horror,Thriller                                                                      ",-1
1989 1990 1991 ,English                                                                                  ,USA                                                                                                      ,1 hr. 49 min. ,5.2/10          ,Horror                                                                                 ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,97 min        ,6.1             ,"Comedy,Drama,Romance                                                                 ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,89 min        ,5.8             ,Horror                                                                                 ,-1
1988           ,English                                                                                  ,USA                                                                                                      ,97 min        ,5.9             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,88 min        ,6.9             ,Comedy                                                                                 ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,100 min       ,7.0             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,"UK,USA                                                                                                 ",88 min        ,7.0             ,"Horror,Thriller                                                                      ",-1
2012           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.1             ,Horror                                                                                 ,-1
2009           ,English                                                                                  ,USA                                                                                                      ,              ,7.0             ,Drama                                                                                  ,-1
2014           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,6.4             ,"Comedy,Drama,Romance                                                                 ",-1
2015           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.0             ,"Drama,Romance                                                                        ",-1
1999           ,"English,French                                                                         ",USA                                                                                                      ,89 min        ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
1998           ,English                                                                                  ,USA                                                                                                      ,93 min        ,7.2             ,"Comedy,Drama,Romance                                                                 ",-1
2010           ,English                                                                                  ,"UK,USA                                                                                                 ",93 min        ,7.4             ,Documentary                                                                            ,-1
2006           ,"English,Spanish                                                                        ","UK,USA                                                                                                 ",101 min       ,6.5             ,"Comedy,Drama,Romance                                                                 ",-1
2009           ,English                                                                                  ,"UK,USA                                                                                                 ",101 min       ,6.2             ,"Drama,Mystery,Sci-Fi                                                                 ",-1
2007           ,English                                                                                  ,USA                                                                                                      ,96 min        ,6.5             ,Documentary                                                                            ,-1
2010           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.1             ,Documentary                                                                            ,-1
2009           ,English                                                                                  ,USA                                                                                                      ,90 min        ,6.4             ,Documentary                                                                            ,-1
2011           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.8             ,Documentary                                                                            ,-1
2012           ,"English,American Sign Language                                                         ","Germany,Canada,USA,France                                                                              ",96 min        ,6.4             ,"Horror,Thriller                                                                      ",-1
2013           ,English                                                                                  ,USA                                                                                                      ,88 min        ,7.4             ,Documentary                                                                            ,-1
2014           ,English                                                                                  ,USA                                                                                                      ,101 min       ,7.2             ,Drama                                                                                  ,-1
2015           ,English                                                                                  ,USA                                                                                                      ,90 min        ,7.0             ,"Biography,Drama,History                                                              ",-1
