Year,Filming Locations,original_index,unique_index
2015,,5873,49
2015,,5874,49
2011,"Kenora, Ontario, Canada",5875,4469
2004,,5876,774
2015,"North Hollywood, Los Angeles, California, USA",5877,4470
2013,"New York, USA",5878,4471
2013,"Ridley Creek State Park - 1023 Sycamore Mills Road, Media, Pennsylvania, USA",5879,4472
2015,,5880,49
2009,"New York, USA",5881,4473
1987,"GG Israel Studios, Jerusalem, Israel",5882,4474
2011,"California, USA",5883,4475
1998,South Africa,5884,883
1987,Israel,5885,4476
1977,"Batchawana Bay, Ontario, Canada",5886,4477
1962,,5887,4478
1982,,5888,741
1999,"Montréal, Québec, Canada",5889,4479
1995,"Los Angeles, California, USA",5890,1810
1996,Romania,5891,4480
1993,"Hanford, California, USA",5892,4481
1996,"Bucharest, Romania",5893,4482
1994,"Haddon Hall, Bakewell, Derbyshire, England, UK",5894,4483
1996,,5895,963
2003,"Austin, Texas, USA",5896,4099
2005,"Indianapolis, Indiana, USA",5897,4484
1969,"F&B; Ceco Studios, North Miami, Florida, USA",5898,4485
2012,"Langley, British Columbia, Canada",5899,4486
2015,"Los Angeles County, California, USA",5900,4487
2000,"Santa Clarita, California, USA",5901,1324
1982,"New York City, New York, USA",5902,4488
1994,,5903,137
1934,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5904,484
2009,,5905,126
2008,,5906,43
1989,"Fullerton, California, USA",5907,4489
2013,"Los Angeles, California, USA",5908,175
2006,"Charlotte, North Carolina, USA",5909,4490
2013,,5910,45
2014,"New York City, New York, USA",5911,325
2011,"Seward, Alaska, USA",5912,4491
2013,,5913,45
1994,"3159 W. 11th Street, Cleveland, Ohio, USA",5914,4492
1996,"Atlantic City, New Jersey, USA",5915,4493
2002,"Franklin, Tennessee, USA",5916,4494
2015,"243 E Holt Ave Pomona, California, USA",5917,4495
1973,"Kanab Movie Fort, Kanab, Utah, USA",5918,4496
1975,"Big Sur, California, USA",5919,4497
1977,"Compton Wynyates, Warwickshire, England, UK",5920,4498
2001,"Manchester, New Hampshire, USA",5921,4499
1996,"Chicago, Illinois, USA",5922,4500
1991,"Brighton, East Sussex, England, UK",5923,4501
2015,"Los Angeles, California, USA",5924,56
1996,"Lower Bay Station, Toronto, Ontario, Canada",5925,4502
1991,"Bix Restaurant - 56 Gold Street, San Francisco, California, USA",5926,4503
2006,"Nu Boyana Film Studios, Sofia, Bulgaria",5927,4504
2010,"Los Angeles, California, USA",5928,735
2001,"Hampstead, North Carolina, USA",5929,4505
2006,"New York City, New York, USA",5930,3060
2007,"Bossier City, Louisiana, USA",5931,4506
1988,Zaire,5932,4507
2001,"The Breakers Resort, Palm Beach, Florida, USA",5933,4508
1997,"Cremosne, Slovakia",5934,4509
2011,"Los Angeles, California, USA",5935,44
2015,"Vancouver, British Columbia, Canada",5936,58
1992,"Acton, California, USA",5937,4510
2015,"Mount Vision, New York, USA",5938,4511
2014,,5939,245
2014,"Jacksonville, Florida, USA",5940,4512
2014,"Minnesota, USA",5941,3348
2014,"Exeter, Rhode Island, USA",5942,4513
2014,"Baton Rouge, Louisiana, USA",5943,2531
2014,"Jefferson City, Missouri, USA",5944,4514
2008,"Los Angeles, California, USA",5945,178
1995,"Los Angeles, California, USA",5946,1810
1993,"Los Angeles, California, USA",5947,3170
1993,,5948,503
1975,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",5949,4515
2014,,5950,245
1961,"Saga Studio, Copenhagen, Denmark",5951,4516
1992,"Los Angeles, California, USA",5952,1442
2000,"104 Fremont Place, Los Angeles, California, USA",5953,4517
1999,"Santa Clarita, California, USA",5954,1319
2015,,5955,49
2002,,5956,626
1984,"Jersey City, New Jersey, USA",5957,4518
1995,"American Embassy - 2 Avenue Gabriel, Paris 8, Paris, France",5958,4519
1998,"201 E. Eighth St. Smithville, Texas USA",5959,4520
2000,"Santa Clarita, California, USA",5960,1324
2001,"Greater Vancouver Regional District Demonstration Forest, North Vancouver, British Columbia, Canada",5961,4521
2002,"New York City, New York, USA",5962,1064
2003,"Fort Langley Community Hall, Fort Langley, Langley Township, British Columbia, Canada",5963,4522
1998,"Chicago, Illinois, USA",5964,4523
2001,"New York, USA",5965,3977
2001,"New York City, New York, USA",5966,4300
2000,"St. Vincent Catholic Church - 621 W. Adams Blvd., Los Angeles, California, USA",5967,4524
2008,"Air Canada Centre, Toronto, Ontario, Canada",5968,4525
2002,"Adelphi Building, John Adam Street, Strand, London, England, UK",5969,4526
2009,"Chicago, Illinois, USA",5970,2877
2014,"New Orleans, Louisiana, USA",5971,361
2015,USA,5972,2896
1993,"California, USA",5973,643
2012,"Salem, Massachusetts, USA",5974,4527
1964,"Lazio, Italy",5975,4528
1990,"West Middletown Cemetery - 4699 Jefferson Ave, Avella, Pennsylvania, USA",5976,4529
1996,,5977,963
2006 2007 2008,"Toronto, Ontario, Canada",5978,4530
1931,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5979,3547
2005,"Buenos Aires, Federal District, Argentina",5980,4531
1935,"Los Angeles, California, USA",5981,4532
1936,"Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5982,4533
1933,"Hotel Del Monte, Monterey, California, USA",5983,4534
2002,,5984,626
1953,"San Gabriel Mountains, California, USA",5985,4535
1935,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",5986,4536
2011,"British Columbia, Canada",5987,4537
2007,"British Columbia, Canada",5988,4538
1932,"Lake Arrowhead, San Bernardino National Forest, California, USA",5989,4539
1947,"Central Park, Manhattan, New York City, New York, USA",5990,4540
2010,"Barrington, Illinois, USA",5991,4541
1986,,5992,876
1981,"Boston, Massachusetts, USA",5993,4542
2010,"Hollywood, Los Angeles, California, USA",5994,4543
2006,"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",5995,4544
2013,"Honey Island, Louisiana, USA",5996,4545
1982,"Fish Cove Inn, Southampton, Long Island, New York, USA",5997,4546
1998,,5998,763
2006,"Millerton, New York, USA",5999,4547
2013,"Bend, Oregon, USA",6000,4548
2010,"Mexico City, Distrito Federal, Mexico",6001,4549
2004 2005 2006,"Alameda, California, USA",6002,4550
2003,"New York City, New York, USA",6003,65
2006,"Kings Mountain, North Carolina, USA",6004,4551
2004,,6005,774
1996,,6006,963
1978,"Bellefonte, Pennsylvania, USA",6007,4552
1986,"Miami, Florida, USA",6008,4553
1987,"Chicago, Illinois, USA",6009,4554
1977,"San Luis Obispo, California, USA",6010,4555
2004,"Centerville, Delaware, USA",6011,4556
2010,"Bay Adelaide Centre - 333 Bay St, Toronto, Ontario, Canada",6012,4557
2008,"100 W 18th St, New York City, New York, USA",6013,4558
2006,"Levittown, Pennsylvania, USA",6014,4559
2012 2013 2014,"Utah, USA",6015,4560
2013,,6016,45
2011,,6017,144
2010,,6018,20
2010,,6019,20
2002,,6020,626
2010,,6021,20
2013,,6022,45
2012,"South Bronx, Bronx, New York City, New York, USA",6023,4561
2015,,6024,49
1982,"San Diego, California, USA",6025,4562
2014,,6026,245
2013,,6027,45
2006,"Bull Shoals, Arkansas, USA",6028,4563
1991,"Hong Kong, China",6029,4564
2012,,6030,47
2014,,6031,245
2012,Jamaica,6032,4565
1966,"Texas, USA",6033,4566
1986,"2128 East 5th Street - Tucson, Arizona, USA",6034,4567
2008,"California, USA",6035,4568
2007,"Aiken, South Carolina, USA",6036,4569
1988,South Africa,6037,4570
2003,"Fort Lauderdale, Florida, USA",6038,4571
2006,"Detroit, Michigan, USA",6039,4572
1998,"Hollywood Hills, Los Angeles, California, USA",6040,4573
1989,"Cancún, Benito Juárez, Quintana Roo, Mexico",6041,4574
2012,"Paris, France",6042,2134
2002,"Da Nang, Vietnam",6043,4575
2013,"Maine, USA",6044,4576
2016,"Prague, Czech Republic",6045,4577
1995,"Angola, Louisiana, USA",6046,4578
2001,"Corner Brook, Newfoundland, Newfoundland and Labrador, Canada",6047,4579
2000,"Noyers-sur-Serein, Yonne, France",6048,4580
2006,"Paris, France",6049,4581
2007,"Baddesley Clinton, Warwickshire, England, UK",6050,4582
2003,"Bronx, New York City, New York, USA",6051,2006
1976,"Texarkana, Texas, USA",6052,4583
1977,,6053,900
1975,"Mentryville, California, USA",6054,4584
1974,"Sacramento, California, USA",6055,4585
1973,"Benton Speedbowl, Alexander, Arkansas, USA",6056,4586
1975,"Tennessee, USA",6057,4587
1971,"Santa Fe, New Mexico, USA",6058,4588
2014,Norway,6059,4589
2007,"Ladner, Delta, British Columbia, Canada",6060,4590
2015,,6061,49
2011,"Staffordshire, England, UK",6062,4591
2013,"Los Angeles, California, USA",6063,175
2012,"Trenton, New Jersey, USA",6064,4592
2007,,6065,3
2010,"West Dundee, Illinois, USA",6066,4593
2007,"San Diego, California, USA",6067,4594
2011,"Los Angeles, California, USA",6068,44
2015,"Vancouver, British Columbia, Canada",6069,58
2014,"Santa Clarita, California, USA",6070,1141
2014,"Los Angeles, California, USA",6071,41
2013,"Los Angeles, California, USA",6072,175
2009,,6073,126
2011,"Portland, Oregon, USA",6074,1881
2013,"Cargill Park-7700 Lotus Lane, Shreveport, Lousiana, USA",6075,4595
1995,"Chuluota, Florida, USA",6076,4596
1936,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",6077,4597
2015,"Rhode Island, USA",6078,2724
2015,"Cape Cod, Massachusetts, USA",6079,4598
1989,"Lindenhurst, Long Island, New York, USA",6080,4599
2015,,6081,49
1990,"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",6082,4600
2013,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",6083,777
2013,,6084,45
2015,"Snegoff Ranch, Topanga Canyon, California, USA",6085,4601
1996,,6086,963
2013,"Los Angeles, California, USA",6087,175
2014,,6088,245
2014,"Philadelphia, Pennsylvania, USA",6089,4602
2009,"Austin, Texas, USA",6090,4208
2009,"Salt Lake City, Utah, USA",6091,4603
2011,"Los Angeles, California, USA",6092,44
2011,,6093,144
1979,"18 Brooks Road, Toms River, New Jersey, USA",6094,4604
2012,,6095,47
1989,"Los Angeles, California, USA",6096,1297
2015,,6097,49
1949,"Alabama Hills, Lone Pine, California, USA",6098,4605
1923,"Anaheim Landing, Anaheim, California, USA",6099,4606
1961,"Chinchón, Madrid, Spain",6100,4607
1951,"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",6101,4608
1953,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",6102,4609
1963,"Almería, Andalucía, Spain",6103,4610
1961,"Sevilla Studios, Madrid, Spain",6104,4611
1966,"Dino De Laurentiis Cinematografica Studios, Rome, Lazio, Italy",6105,4612
1952,"Main Street, Cong, Co. Mayo, Ireland",6106,4613
1994,"Austin, Texas, USA",6107,4614
2008,"Toronto, Ontario, Canada",6108,2098
2009 2010 2011,"Toronto, Ontario, Canada",6109,4615
1970,"Brush Hollow Reservoir, Colorado, USA",6110,4616
2007,"Toronto, Ontario, Canada",6111,4617
1972,"100 Hopkins Street, San Marcos, Texas, USA",6112,4618
1970,"Apache Junction, Arizona, USA",6113,4619
1973,"Durango, Mexico",6114,3877
1971,"Estudios Roma, Madrid, Spain",6115,4620
1964,"Mexican Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6116,4621
1966,"Alabama Hills, Lone Pine, California, USA",6117,4622
1967,"Kanab, Utah, USA",6118,4623
1952,"Columbia River, Oregon, USA",6119,4624
1968,"El Casar de Talamanca, Guadalajara, Castilla-La Mancha, Spain",6120,4625
2009,"Toronto, Ontario, Canada",6121,4626
1967,"Lovejoy Buttes, Lancaster, California, USA",6122,4627
1970 1971 1972,"Page, Arizona, USA",6123,4628
1998,"Humber College - 3199 Lake Shore Blvd, Toronto, Ontario, Canada",6124,4629
1968,"85 Mt. Vernon Street, Beacon Hill, Boston, Massachusetts, USA",6125,4630
1966,"Taipei City, Taiwan",6126,4631
1984,"California, USA",6127,4632
1993,"New York, USA",6128,3251
1988,"Los Angeles, California, USA",6129,2824
1991,"Annapolis, Maryland, USA",6130,4633
1992,"Barstow, California, USA",6131,4634
1992,"Hollywood Boulevard, Hollywood, California, USA",6132,4635
1999,"New York City, New York, USA",6133,2944
1993,"Philadelphia, Pennsylvania, USA",6134,4636
1981,"298 Arizona Street, Hollywood, Florida, USA",6135,4637
1983,"Fort Lauderdale, Florida, USA",6136,4638
1986,"1530 Orange Grove Avenue, Hollywood, Los Angeles, California, USA",6137,4639
1987,"Fort Lauderdale-Hollywood International Airport - 320 Terminal Drive, Fort Lauderdale, Florida, USA",6138,4640
1985,"Claremont, California, USA",6139,4641
1985,"Fort Lauderdale, Florida, USA",6140,4642
1992,"Utah, USA",6141,4643
1991,"Vancouver, British Columbia, Canada",6142,4644
2001,"Staten Island, New York City, New York, USA",6143,4645
1995,"New York City, New York, USA",6144,4646
1982,"Fairmont Hotel - 950 Mason Street, Nob Hill, San Francisco, California, USA",6145,4647
1997 1998 1999,"Astor Place, Manhattan, New York City, New York, USA",6146,4648
1990,"Duff;s Reataurant, 392 North Euclid Avenue, St. Louis, Missouri, USA",6147,4649
1991,"Haines, Alaska, USA",6148,4650
1938 1939 1940,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",6149,4651
1994,"Los Angeles, California, USA",6150,1176
1998,"New York City, New York, USA",6151,4202
2000,"Vancouver, British Columbia, Canada",6152,4652
1997 1998 1999,"Cincinnati, Ohio, USA",6153,4653
1991,,6154,9
1991,,6155,9
1987,,6156,2342
1999,"New York City, New York, USA",6157,2944
2003,"Showline Studios, Toronto, Ontario, Canada",6158,1942
1993 1994 1995,"Britannia Beach, British Columbia, Canada",6159,4654
1981,"Maxwell, Texas, USA",6160,4655
1985,"Hagerstown, Maryland, USA",6161,4656
1987,"444 S. Flower Street, Downtown, Los Angeles, California, USA",6162,4657
1982,"Big Oaks Lodge, Saugus, California, USA",6163,4658
1984,"Black Hawk County, Iowa, USA",6164,4659
1986,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6165,4660
1990,"Baltimore, Maryland, USA",6166,3533
1988,"Duluth, Minnesota, USA",6167,4661
1984,"Alabama, USA",6168,4662
1994,"Alabama, USA",6169,4663
1980,"Eugene, Oregon, USA",6170,4664
1986,"1589 Homewood Dr., Altadena, California, USA",6171,4665
1985,"Atlanta, Georgia, USA",6172,4666
2002,"Buenos Aires, Federal District, Argentina",6173,4667
1997,"Collin County, Texas, USA",6174,4668
1984 1985 1986,"Julio Prestes Train Station, São Paulo, Brazil",6175,4669
1989,"Baltimore, Maryland, USA",6176,4670
1979,"Auburn, Alabama, USA",6177,4671
1979,"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",6178,4672
1984,"Ellis County, Texas, USA",6179,4673
1980 1981 1982,"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",6180,4674
2004,"London, England, UK",6181,625
2008,"Bowen, Queensland, Australia",6182,2109
2007,"Lakeview Restaurant, 1132 Dundas Street. W, Toronto, Ontario",6183,4675
1963,"Sabino Canyon, Tucson, Arizona, USA",6184,4676
1965,"Culver City, California, USA",6185,4677
1962 1963 1964,"Revue Studios, Hollywood, Los Angeles, California, USA",6186,4678
1955,"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",6187,4679
1956,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",6188,707
1941,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",6189,96
1990,"Chicago, Illinois, USA",6190,4680
2006,"Barrandov Studios, Prague, Czech Republic",6191,4681
2001,"Santa Clarita, California, USA",6192,182
2005,"Los Angeles, California, USA",6193,701
2001 2002 2003,"332 Lorraine Blvd, Los Angeles, California, USA",6194,4682
2001,"Rae's Restaurant, 2901 Pico Boulevard, Santa Monica, California, USA",6195,4683
2003,"New York City, New York, USA",6196,65
2009,"Calabasas High School - 22855 W. Mulholland Hwy., Calabasas, California, USA",6197,4684
1955,"7529 Franklin Avenue, Hollywood, Los Angeles, California, USA",6198,4685
1974,"Gorge Dam, Skagit River, Washington, USA",6199,4686
1999,,6200,139
1983,"New York City, New York, USA",6201,4687
1980,"Church of Saint Mary the Virgin 145 West 46th Street, Manhattan, New York City, New York, USA",6202,4688
1980,"2213 Westside Drive, Deer Park, Texas, USA",6203,4689
1981,"Brocket Hall, Lemsford, Welwyn Garden City, Hertfordshire, England, UK",6204,4690
1978,"James W. Jardine Water Purification Plant, Chicago, Illinois, USA",6205,4691
1982,,6206,741
2015,"Los Angeles, California, USA",6207,56
2007,"Santa Clarita, California, USA",6208,227
2014,Bulgaria,6209,2104
2011,"Brandon, Manitoba, Canada",6210,4692
2015,"Shreveport, Louisiana, USA",6211,453
2014,Panama,6212,4693
2015,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",6213,4694
2014,"Indianapolis, Indiana, USA",6214,4695
2008 2009 2010,"Connecticut, USA",6215,4696
2013,"Frederick County, Maryland, USA",6216,4697
2013 2014 2015,Lithuania,6217,4698
2012,"2606 N. Madison Avenue, Altadena, California, USA",6218,4699
1961,"Old Bailey, London, England, UK",6219,4700
2011,"Los Angeles, California, USA",6220,44
2007,"Austin, Texas, USA",6221,266
2014,"New Orleans, Louisiana, USA",6222,361
1956,"Cathedral of St. Alexander Nevsky - 12 Rue Daru, Paris 8, Paris, France",6223,4701
2013,"Vernazza, Liguria, Italy",6224,4702
2011,"Connecticut, USA",6225,4703
1942,,6226,3470
1946,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6227,3212
1942,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6228,1567
1939,"Stage 2, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",6229,4704
1945,"Little Europe, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6230,1581
1943,"Glendale Grand Central Air Terminal - Grandview Avenue, Glendale, California, USA",6231,4705
1944,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6232,1564
1945,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6233,3542
1945,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6234,3542
1944,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6235,1564
1944,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6236,1564
2013 2014 2015,"Los Angeles, California, USA",6237,4706
2013,Bulgaria,6238,3739
2015,,6239,49
1965,"C.E.A. Studios, Madrid, Spain",6240,4707
1999,"California, USA",6241,450
2001,USA,6242,4708
2013,"Margaretville, New York, USA",6243,4709
2014,"Santa Clarita, California, USA",6244,1141
2013,"Tennessee, USA",6245,4710
2013,"Los Angeles, California, USA",6246,175
2009,"Mobile, Alabama, USA",6247,4711
2012,"Novi Sad, Serbia",6248,4712
2008,"Burbank, California, USA",6249,1724
2013,Hungary,6250,288
2012,"Los Angeles, California, USA",6251,679
2015,"North Carolina, USA",6252,107
2013,"Evolution Printing, Stanhope Road, Camberley, UK",6253,4713
1990,"Los Angeles, California, USA",6254,1807
2010,"Hong Kong, China",6255,4714
1984,"Norcross, Georgia, USA",6256,4715
1981,"Park City, Utah, USA",6257,4716
1987,"Lakeside, California, USA",6258,4717
2013,"North York General Hospital - Branson Division, Toronto, Ontario, Canada",6259,4718
2014,"Riverview, Coquitlam, British Columbia, Canada",6260,4719
2014,"Winnipeg, Manitoba, Canada",6261,4720
1978 1979 1980,"New York City, New York, USA",6262,4721
2013,"Big Sur, California, USA",6263,4722
2010,USA,6264,4723
2010,,6265,20
1999,,6266,139
1986,,6267,876
2007,"Brooklyn, New York City, New York, USA",6268,2936
2003,,6269,497
2013,,6270,45
2009,"Kittanning, Pennsylvania, USA",6271,4724
1992,"San Rafael Ranch State Park, Patagonia, Arizona, USA",6272,4725
2001,"Supino's Restaurant, 250 Newbury St, Danvers, Massachusetts, USA",6273,4726
1979,"Brooklyn Heights Promenade, Brooklyn Heights, Brooklyn, New York City, New York, USA",6274,4727
2010,"Snowbasin, Utah, USA",6275,4728
2007,"New York City, New York, USA",6276,3357
2005,"Kennett Square, Pennsylvania, USA",6277,4729
2013,"Bangkok, Thailand",6278,4730
2013 2014 2015,"Broadgate, London, England, UK",6279,4731
2014,"Albuquerque, New Mexico, USA",6280,4732
2003,"Ballarat, Victoria, Australia",6281,4733
2003,"Caserta, Campania, Italy",6282,4734
2001,"Barrandov Studios, Prague, Czech Republic",6283,4735
2005,"Palazzo Soranzo Van Axel - 6099 Sestiere Cannaregio, Venice, Venato, Italy",6284,4736
2002,"Bledlow, Buckinghamshire, England, UK",6285,4737
2014,"Arrowhead Springs Resort, 24918 Arrowhead Springs Rd, San Bernardino, California, USA",6286,4738
2014,"Los Angeles, California, USA",6287,41
2008,,6288,43
2004,"Mount Vernon, New York, USA",6289,4739
2015,,6290,49
2009,"New York City, New York, USA",6291,3283
1962,"Hawaii, USA",6292,4740
1965,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",6293,4302
1969,,6294,753
2015,"Broadway Tavern - 8 Broadway, Malverne, New York, USA",6295,4741
1967,"Van Nuys, Los Angeles, California, USA",6296,4742
2000,"Miami, Florida, USA",6297,4743
1964,"Henderson, Nevada, USA",6298,4744
1969,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6299,4745
1977,"Apple Valley, California, USA",6300,4746
2008,"191 Peachtree Street, Atlanta, Georgia, USA",6301,4747
2009,"Chicago, Illinois, USA",6302,2877
2007,Romania,6303,4748
2008,"South Carolina, USA",6304,4749
2009,"Crafton, Pennsylvania, USA",6305,4750
2008,"Lake Shastina, California, USA",6306,4751
2010,"Dallas, Texas, USA",6307,4752
2006,"Bellarmine-Jefferson High School, Burbank, California, USA",6308,4753
2009,"Baton Rouge, Louisiana, USA",6309,4754
2009,"Cheyenne Studios - 27567 Fantastic Lane, Castaic, California, USA",6310,4755
2010,"Baton Rouge, Louisiana, USA",6311,4756
2011,"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",6312,4757
2012,"Vernon, British Columbia, Canada",6313,4758
1984,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",6314,4759
2009,,6315,126
1978,"Connecticut, USA",6316,4760
2010,,6317,20
2013,"Sofia, Bulgaria",6318,4761
2010,"Los Angeles, California, USA",6319,735
2015,"Shreveport, Louisiana, USA",6320,453
2014,"Cape Town, South Africa",6321,4762
2014,"Moriarty, New Mexico, USA",6322,4763
2011,"England, UK",6323,1546
2014,"Blythe House, 23 Blythe Road, West Kensington, London, England, UK",6324,4764
2013,"Atlanta, Georgia, USA",6325,1003
2015,,6326,49
2011,"Los Angeles, California, USA",6327,44
2015,"Fresno, California, USA",6328,4261
2014,"Mobile, Alabama, USA",6329,4765
2014,"Pink's Studios, Simanovci, Belgrade, Serbia",6330,4766
2014,,6331,245
2014,"London, England, UK",6332,730
2014,"La Perla, San Juan, Puerto Rico",6333,4767
2014,"Church of St Eustache, Paris 1, Paris, France",6334,4768
2014,"Crestline, California, USA",6335,4769
2014 2015 2016,"Michigan, USA",6336,4770
2011,"Columbia, Missouri, USA",6337,4771
1937,"Republic Studios, Hollywood, Los Angeles, California, USA",6338,4772
2014,"North Carolina, USA",6339,3065
2013,"Mobile, Alabama, USA",6340,4773
2013,"Savannah, Georgia, USA",6341,4774
2013,,6342,45
2014,"Cinespace Film Studios, Toronto, Ontario, Canada",6343,4775
2009,"Boucherville, Québec, Canada",6344,4776
2015,"Amsterdam, Noord-Holland, Netherlands",6345,4777
2013,"Los Angeles, California, USA",6346,175
2014,"Burra, South Australia, Australia",6347,4778
1963,"Alderminster, Stratford-upon-Avon, Warwickshire, England, UK",6348,4779
2014,"Polignano a Mare, Bari, Apulia, Italy",6349,4780
2014,"Wilmington, North Carolina, USA",6350,4781
2014,"Louisiana, USA",6351,4782
2012,,6352,47
2014,"Hudson Valley, New York, USA",6353,4783
2014,,6354,245
2015,"Santa Clarita, California, USA",6355,4784
2014,"Lakeview Drive, GSMNP, Bryson City, North Carolina, USA",6356,4785
2012,"Alabama, USA",6357,4786
2015,"Santa Clarita, California, USA",6358,4784
2014,,6359,245
2014,"Spiderwood Studios, Austin, Texas, USA",6360,3062
2008,"Alton, Illinois, USA",6361,4787
2015,"Eloise Insane Asylum, Westland, Michigan, USA",6362,4788
2014,,6363,245
2009,"Getxo, Vizcaya, País Vasco, Spain",6364,4789
2015,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",6365,727
1991,"Los Angeles, California, USA",6366,1178
2013,"Plaza Cafe Downtown - 54 Lincoln Ave., Santa Fe, New Mexico, USA",6367,4790
1988,"Boston, Massachusetts, USA",6368,4791
2009,"New York, USA",6369,4473
2000,,6370,140
1992,"191 Peachtree Street, Atlanta, Georgia, USA",6371,4792
2010,"Cartagena, Bolívar, Colombia",6372,4793
2000,"Biedrusko, Poznan, Wielkopolskie, Poland",6373,4794
2013,"New York City, New York, USA",6374,995
2010,"Boston, Massachusetts, USA",6375,226
2000,"Garden City, Long Island, New York, USA",6376,4795
2006,"City Hall - 200 N. Spring Street, Downtown, Los Angeles, California, USA",6377,4796
2005,"Los Angeles, California, USA",6378,701
1993,"White Castle, Louisiana, USA",6379,4797
2000,"Middle Village, Queens, New York City, New York, USA",6380,4798
2004,"Chicago, Illinois, USA",6381,296
1997,"California, USA",6382,2256
2000,"Dodger Stadium - 1000 Elysian Park Avenue, Chávez Ravine, Elysian Park, Los Angeles, California, USA",6383,4799
2005,"Los Angeles, California, USA",6384,701
1997,,6385,937
2007,"Hollywood, Los Angeles, California, USA",6386,4800
2009,Bulgaria,6387,4801
1989,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",6388,4802
2013,"Santa Clarita, California, USA",6389,4050
1992,"Drain, Oregon, USA",6390,4803
1991,"Fallbrook, California, USA",6391,4804
1997,"Stouffville, Ontario, Canada",6392,4805
2000,"Bakersfield, California, USA",6393,4806
1990,,6394,880
1989,"Tucson, Arizona, USA",6395,4807
2003,"Vilnius, Vilnius County, Lithuania",6396,4808
2008,"Bay of Islands, Newfoundland, Newfoundland and Labrador, Canada",6397,4809
1990,"Hermosa Beach, California, USA",6398,4810
1990,"Cartagena, Murcia, Spain",6399,4811
1990,"Ashcroft, British Columbia, Canada",6400,4812
1997,,6401,937
1993,"El Mirage Dry Lake, California, USA",6402,4813
1984,"1700 E. Ocean Blvd, Long Beach, California, USA",6403,4814
2007,Jordan,6404,4815
1992,"Los Altos, California, USA",6405,4816
1989,"Dolores Park, San Francisco, California, USA",6406,4817
2002,"Lake Michigan, Illinois, USA",6407,4818
1997,"Moscow, Russia",6408,4819
2013,"Las Vegas, Nevada, USA",6409,4142
1980,"New Orleans, Louisiana, USA",6410,4820
1987,,6411,2342
1974,Barbados,6412,4821
1984,"Glendale, Arizona, USA",6413,4822
1976,"Port Wentworth, Georgia, USA",6414,4823
1981,"Chatsworth, Los Angeles, California, USA",6415,4824
1989,,6416,606
1980,"Malibu, California, USA",6417,4825
1982,"Chrysler Building - 405 Lexington Avenue, Manhattan, New York City, New York, USA",6418,4826
1983,"Crescent City, California, USA",6419,4827
1988,"Coldwater Canyon, Beverly Hills, California, USA",6420,4828
1982,"Savannah, Georgia, USA",6421,4829
1982,"Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA",6422,4830
2015,"North Carolina, USA",6423,107
1978,"Burbank, California, USA",6424,4831
1973,,6425,1128
1977,"La Jolla, San Diego, California, USA",6426,4832
2014,"New York City, New York, USA",6427,325
1991,,6428,9
1979 1980 1981,,6429,4833
