Director,Actors,original_index,unique_index
Tom Moore,"Dawn Wells,Dana Plato,David Sobiesk",5351,5301
Lawrence Lanoff,"Mikey LeBeau,David Keith Miller,George Shannon",5352,5302
Nathan Daniel,"Gabby Viorel,Jack Viorel,Aileen Viorel",5353,5303
Carlo Nicoletta,"Ian Hutton,Adam Griffith,Vanessa Amador",5354,5304
"Johnny Meier,David Aaron Stone","Ronald D. Alcazar,Sarah Blackford,Slav Boston",5355,5305
Oz Scott,"Kyle Kirk,Matthew Lillard,Wayne Duvall",5356,5306
Rachel Talalay,"Robert Englund,Lisa Zane,Shon Greenblatt",5357,5307
Jack Sholder,"Robert Englund,Mark Patton,Kim Myers",5358,5308
Randall Wallace,"Diane Lane,John Malkovich,Margo Martindale",5359,5309
Norman Tokar,"Brian Keith,Tommy Kirk,Kevin Corcoran",5360,5310
Jeremy Kagan,"Meredith Salenger,John Cusack,Ray Wise",5361,5311
Jim Wynorski,"Loni Anderson,Andrew Stevens,Jamie McEnnan",5362,5312
Pierre DeCelles,"Greg Berg,Ruth Buzzi,Nancy Cartwright",5363,5313
Des McAnuff,"Robert De Niro,Rene Russo,Piper Perabo",5364,5314
Stuart Gillard,"Harland Williams,Jessica Lundy,William Sadler",5365,5315
David Kellogg,"Matthew Broderick,Rupert Everett,Joely Fisher",5366,5316
"Joseph Barbera,William Hanna","Daws Butler,Don Messick,Mel Blanc",5367,5317
"Joseph Barbera,William Hanna","George O'Hanlon,Penny Singleton,Mel Blanc",5368,5318
Friz Freleng,"Mel Blanc,Stan Freberg,June Foray",5369,5319
"Friz Freleng,Chuck Jones","Mel Blanc,Arthur Q. Bryan,June Foray",5370,5320
"Phil Monroe,Friz Freleng","Mel Blanc,June Foray,Les Tremayne",5371,5321
Craig McCracken,"Cathy Cavadini,Tara Strong,Elizabeth Daily",5372,5322
James B. Clark,"David Ladd,Arthur O'Connell,Pam Smith",5373,5323
Don Chaffey,"Patrick McGoohan,Susan Hampshire,Laurence Naismith",5374,5324
Steve Franke,"Rick Shew,Trey Bumpass,Christine Galyean",5375,5325
Jimmy Huston,"Cecile Bagdadi,Joel S. Rice,Ralph Brown",5376,5326
George Miller,"Steve Guttenberg,Kathleen Quinlan,Arnold Vosloo",5377,5327
Brian Skiba,"Kristy Swanson,Dean Cain,Lochlyn Munro",5378,5328
Kevin Cooper,"Beverly D'Angelo,Sean Giambrone,Steve Guttenberg",5379,5329
Estlin Feigley,"Steve Guttenberg,Harry Lennix,Stephanie Andrea Barron",5380,5330
David Mackay,"Dean Cain,Britt McKillip,Mike Dopud",5381,5331
Sean Olson,"Dean Cain,Gary Valentine,Elisa Donovan",5382,5332
Brian Skiba,"Donna Spangler,Vincent De Paul,Kirsten Lea",5383,5333
Clay Borris,"James Remar,Daphne Ashbrook,Adam Coleman Howard",5384,5334
David DeCoteau,"Alison Sieke,August Roads,Chris Petrovski",5385,5335
Rob Zombie,"Sid Haig,Sheri Moon Zombie,Bill Moseley",5386,5336
Rob Zombie,"Sid Haig,Karen Black,Bill Moseley",5387,5337
Marcus Nispel,"Jessica Biel,Jonathan Tucker,Andrew Bryniarski",5388,5338
James Isaac,"Kane Hodder,Lexa Doig,Jeff Geddis",5389,5339
Jonathan Liebesman,"Jordana Brewster,Matt Bomer,Diora Baird",5390,5340
Louis King,"Roddy McDowall,Preston Foster,Rita Johnson",5391,5341
Louis King,"Peggy Cummins,Charles Coburn,Robert Arthur",5392,5342
Max Nosseck,"Mona Freeman,Richard Denning,Evelyn Ankers",5393,5343
E.L. Katz,"Pat Healy,Ethan Embry,Sara Paxton",5394,5344
Timothy Kendall,"Wei Zhao,Xiaoming Huang,Dawei Tong",5395,5345
Alexandre Aja,"Ted Levine,Kathleen Quinlan,Dan Byrd",5396,5346
"Toby Genkel,Sean McCormack","Dermot Magennis,Callum Maloney,Tara Flynn",5397,5347
Dennis Iliadis,"Garret Dillahunt,Monica Potter,Tony Goldwyn",5398,5348
Anne Fletcher,"Reese Witherspoon,Sofía Vergara,Matthew Del Negro",5399,5349
"David Bisbano,Mychal Simka","Tom Arnold,Drake Bell,Miranda Cosgrove",5400,5350
Andy Fickman,"Kevin James,Raini Rodriguez,Eduardo Verástegui",5401,5351
Jay Martin,"Luke Mitchell,Leven Rambin,Jason Ritter",5402,5352
Rob Schmidt,"Eliza Dushku,Jeremy Sisto,Emmanuelle Chriqui",5403,5353
John H. Williams,"Tom Kenny,Zack Shada,Patrick Warburton",5404,5354
Don Taylor,"Roddy McDowall,Kim Hunter,Bradford Dillman",5405,5355
"Colin Brady,Christopher Reeve","Jake T. Austin,Brian Dennehy,Whoopi Goldberg",5406,5356
Luc Campeau,"Noah Schnacky,Mary Rachel Dudley,Isaiah McCaffrey",5407,5357
Jon Watts,"Eli Roth,Peter Stormare,Laura Allen",5408,5358
David Guy Levy,"Brittany Snow,June Squibb,Jeffrey Combs",5409,5359
"Vincent J. Wiley,Deborah Romare",Martin Klebba,5410,5360
Ganit Orian,"Angela Relucio,Sarah Lynn Dawson,Blair Dinucci",5411,5361
Eric England,"Najarra Townsend,Caroline Williams,Alice Macdonald",5412,5362
Ryûhei Kitamura,"Luke Evans,Gary Grubbs,Adelaide Clemens",5413,5363
Paul Weitz,"Lily Tomlin,Julia Garner,Marcia Gay Harden",5414,5364
Charles Kaufman,"Tiana Pierce,Nancy Hendrickson,Deborah Luce",5415,5365
Morris Engel,,5416,5366
David Butler,"Shirley Temple,Barry Fitzgerald,Lon McCallister",5417,5367
Kaare Andrews,"Sean Astin,Currie Graham,Ryan Donowho",5418,5368
Ti West,"Rider Strong,Noah Segan,Alexi Wasser",5419,5369
Morgan Krantz,"Max Burkholder,Danièle Watts,Valerie Azlynn",5420,5370
Isabel Coixet,"Patricia Clarkson,Ben Kingsley,Grace Gummer",5421,5371
Martin Weisz,"Daniella Alonso,Jacob Vargas,Michael Bailey Smith",5422,5372
Steven R. Monroe,"Sarah Butler,Jeff Branson,Andrew Howard",5423,5373
Guillermo del Toro,"Mia Wasikowska,Jessica Chastain,Tom Hiddleston",5424,5374
Irene Lusztig,,5425,5375
Jeff Solema,"Athena Baumeister,David Neff,Lucas Barker",5426,5376
Robert Shaye,"Joely Richardson,Rainn Wilson,Timothy Hutton",5427,5377
Tracy Trost,"Catherine Mary Stewart,Muse Watson,Cameron Ten Napel",5428,5378
Matt Thompson,"Jonathon Lamer,Beth Pennington,Tom Virtue",5429,5379
Troy Kotsur,"Lynn Whitfield,Leon Thomas III,Troy Kotsur",5430,5380
David Lister,"Marlee Matlin,C. Thomas Howell,Amanda Fuller",5431,5381
Craig William Macneill,"David Morse,Rainn Wilson,Jared Breeze",5432,5382
"David Nixon,Patrick Doughtie","Tanner Maguire,Jeffrey Johnson,Robyn Lively",5433,5383
John Grooters,"Rebecca St. James,Big Kenny,Earthquake Kelley",5434,5384
John Schmidt,"Jason George,Ned Vaughn,Dabney Coleman",5435,5385
Curtis Graham,"Brandon Larracuente,Richard A. Romano,Nicole Abisinio",5436,5386
Barrett Esposito,"Luis Guzmán,Richard Gere,Chazz Palminteri",5437,5387
Timothy Woodward Jr.,"Johnny Messner,Dolph Lundgren,Danny Trejo",5438,5388
"Jay Lee,Jim Roof","Jim Roof,Shannon Malone,Larissa Lynch",5439,5389
Christian Cantamessa,"Norman Reedus,Djimon Hounsou,Sandrine Holt",5440,5390
Jack Heller,"Lukas Haas,Steve Agee,Ethan Khusidman",5441,5391
Oren Moverman,"Richard Gere,Ben Vereen,Jena Malone",5442,5392
Steven Piet,"John Ashton,Alex Moffat,Jenna Lyng",5443,5393
James Wan,"Patrick Wilson,Vera Farmiga,Ron Livingston",5444,5394
Scott Derrickson,"Ethan Hawke,Juliet Rylance,James Ransone",5445,5395
James Wan,"Patrick Wilson,Rose Byrne,Ty Simpkins",5446,5396
Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison",5447,5397
Hideo Nakata,"Naomi Watts,David Dorfman,Sissy Spacek",5448,5398
Sam Mendes,"Daniel Craig,Christoph Waltz,Ralph Fiennes",5449,5399
Heather Winters,"Univ. Miami Indian Students Assoc.,Karl Bakke,John Barrett",5450,5400
Joseph Losey,"Pat O'Brien,Robert Ryan,Barbara Hale",5451,5401
Willard Carroll,"Nigel Le Vaillant,Marlene Sidaway,Serena Gordon",5452,5402
Ridley Scott,"Michael Fassbender,Noomi Rapace",5453,5403
Dan Sallitt,"Edith Meeks,Dylan McCormick,Renée Bucciarelli",5454,5404
Roberto Minervini,"Sara Carlson,Colby Trichell,Tim Carlson",5455,5405
Inon Shampanier,"Dominic Monaghan,Rick Gomez,Jordan Belfi",5456,5406
Sean Eliot Carlsen,"Stephen Peterson,Nathan Ramos,Pierson Carlsen",5457,5407
Phillip Borsos,"Mary Steenburgen,Gary Basaraba,Harry Dean Stanton",5458,5408
Tracy Trost,"Roger Nix,Jason London,Meredith Salenger",5459,5409
Michael J. Nathanson,"AJ Abaya,Kyle Agnew,Sal Alessandro",5460,5410
Daniel Anghelcev,"Diana Angelson,Jason London,Quinton Aaron",5461,5411
Rob Reiner,"Bruce Willis,Michelle Pfeiffer,Colleen Rennison",5462,5412
Ed Harris,"Ed Harris,Viggo Mortensen,Renée Zellweger",5463,5413
Robert Rodriguez,"Jimmy Bennett,James Spader,Kat Dennings",5464,5414
Alan Rafkin,"Don Knotts,Joan Staley,Liam Redmond",5465,5415
Franco Amurri,"Thora Birch,Harvey Keitel,Finster",5466,5416
Richard Franklin,"Henry Thomas,Dabney Coleman,Michael Murphy",5467,5417
Maggie Greenwald,"Aidan Quinn,Virginia Madsen,Zosia Mamet",5468,5418
Todd Tucker,"Rhiannon Leigh Wryn,Bart Johnson,Billy Unger",5469,5419
Sean McNamara,"Alex D. Linz,William Atherton,James Woods",5470,5420
Michael Feifer,"Bryce Johnson,Boti Bliss,David DeLuise",5471,5421
Fred Olen Ray,"Patrick Muldoon,Dina Meyer,Ian Ziering",5472,5422
J. Horton,"David DeLuise,Kerry Lynne Feirman,Jamison Haase",5473,5423
Ross Venokur,"Victoria Justice,Will Forte,John Leguizamo",5474,5424
Mark Cartier,,5475,5425
Mark Rosman,"Ed Begley Jr.,Greg Germann,J.J. Totah",5476,5426
Lisa Arnold,"Michael Gross,Markie Post,Leigh-Allyn Baker",5477,5427
Ken Carpenter,"Nico Christou,DeVion Harris,David DeLuise",5478,5428
Mark Cartier,"Todd Cahoon,Sarah Frangenberg,Shane Harper",5479,5429
Ally Walker,"Selma Blair,Adrian Grenier,Bailey Chase",5480,5430
Michael J. Sarna,"Frances Reagan James,Eric Feldman,Michael Cade",5481,5431
Michael J. Sarna,"Meredith Thomas,Taylor Keene,Natasha Halevi",5482,5432
Norman Tokar,"Fred MacMurray,Tommy Steele,Greer Garson",5483,5433
Peter Tewksbury,"Walter Slezak,Bryan Russell,Roger Mobley",5484,5434
Robert Stevenson,"Peter Ustinov,Helen Hayes,Derek Nimmo",5485,5435
Robert Stevenson,"Walter Brennan,Matthew Garber,Karen Dotrice",5486,5436
Norman Tokar,"Walter Pidgeon,Gilles Payant,Émile Genest",5487,5437
"Maria Dante,Rod Hewitt","Robert Davi,Michael Paré,John Savage",5488,5438
"William Keighley,William Dieterle","Errol Flynn,Claude Rains,Henry Stephenson",5489,5439
Lewis R. Foster,"Sal Mineo,Philip Carey,Jerome Courtland",5490,5440
James Neilson,"Hayley Mills,Eli Wallach,Pola Negri",5491,5441
"Lewis R. Foster,Norman Foster","Guy Williams,Henry Calvin,Gene Sheldon",5492,5442
Fruit Chan,"Rachael Murphy,Eli Roth,Ben DiGregorio",5493,5443
Robert Butler,"Jim Dale,Darren McGavin,Karen Valentine",5494,5444
Norman Tokar,"Fred MacMurray,Vera Miles,Lillian Gish",5495,5445
George Pal,"Russ Tamblyn,June Thorburn,Peter Sellers",5496,5446
Vincent McEveety,"Kurt Russell,Joe Flynn,Eve Arden",5497,5447
"Ted Wilde,J.A. Howe","Harold Lloyd,Jobyna Ralston,Walter James",5498,5448
"Fred C. Newmeyer,Sam Taylor","Harold Lloyd,Jobyna Ralston,Richard Daniels",5499,5449
"Edward Sedgwick,Buster Keaton","Buster Keaton,Marceline Day,Harold Goodwin",5500,5450
"Charles Reisner,Buster Keaton","Buster Keaton,Tom McGuire,Ernest Torrence",5501,5451
Buster Keaton,"Buster Keaton,Ruth Dwyer,T. Roy Barnes",5502,5452
"Fred C. Newmeyer,Sam Taylor","Harold Lloyd,Jobyna Ralston,Brooks Benedict",5503,5453
Taylor Hackford,"Jessica Lange,Dennis Quaid,Timothy Hutton",5504,5454
Steven Spielberg,"Christian Bale,John Malkovich,Miranda Richardson",5505,5455
Kevin Schreck,"Omar Ali-Shah,Art Babbitt,Howard Blake",5506,5456
Richard Williams,"Vincent Price,Matthew Broderick,Jennifer Beals",5507,5457
John Magary,"Josh Lucas,Stephen Plunkett,Lucy Owen",5508,5458
"Chuck Jones,Phil Monroe","Mel Blanc,Arthur Q. Bryan,Paul Julian",5509,5459
William Berke,"Morgan Conway,Anne Jeffreys,Mike Mazurki",5510,5460
Gordon Parks Jr.,"Ron O'Neal,Carl Lee,Sheila Frazier",5511,5461
Peter Weir,"Robin Williams,Robert Sean Leonard,Ethan Hawke",5512,5462
Jon Garcia,"Nick Ferrucci,Benjamin Farmer,Hannah Barefoot",5513,5463
J.T. Tepnapa,"Richard Harmon,Genevieve Buechner,Sean Paul Lockhart",5514,5464
Chris Mason Johnson,"Scott Marlowe,Matthew Risch,Evan Boomer",5515,5465
James Townsend,"Nick Airus,Allusia Alusia,Sean Benedict",5516,5466
Jody Wheeler,"Blaise Godbe Lipman,Timo Descamps,Sean Paul Lockhart",5517,5467
D.M.W. Greer,"Trent Ford,Tammy Blanchard,Morgan Spector",5518,5468
"Michael Haigney,Kunihiko Yuyama","Rica Matsumoto,Madeleine Blaustein,Mayumi Iizuka",5519,5469
Sean Paul Lockhart,"Jack Brockett,Sean Paul Lockhart,Laura Reilly",5520,5470
Chris Michael Birkmeier,"Kyle Wigent,Tanner Rittenhouse,Adam Fane",5521,5471
Rosser Goodman,"Tyler Poelle,Joel Rush,Jennifer Elise Cox",5522,5472
Theresa Labreglio,"Abigail Friend,Melissa Malone,Heather Girardi",5523,5473
Howell Hansel,"Marguerite Snow,Charles Fisher,Justus D. Barnes",5524,5474
Eugene Corr,"Jon Voight,JoBeth Williams,Annabeth Gish",5525,5475
"Arye Gross,Gregory Gieras","Sean Kellman,Robert Englund,Vincent Schiavelli",5526,5476
Dale Rosenbloom,"Blake Heron,Michael Moriarty,Scott Wilson",5527,5477
James B. Clark,"David Ladd,Chill Wills,Rex Reason",5528,5478
Sanjay Patel,,5529,5479
Cory Krueckeberg,"Tanner Cohen,Matthew Camp,Ramon O. Torres",5530,5480
Mark Thiedeman,"Deb Lewis,Samuel Pettit,Sean Rose",5531,5481
David Cocheret,"Constance Brenneman,Steve Wilcox,Kieron Elliott",5532,5482
Patricio Valladares,"Michael Biehn,William Forsythe,Nick Bateman",5533,5483
Joanna Coates,"Josh O'Connor,Hannah Arterton,Rea Mole",5534,5484
Dennis Dugan,"Jason Biggs,Steve Zahn,Jack Black",5535,5485
Jake Kasdan,"Colin Hanks,Jack Black,Schuyler Fisk",5536,5486
Robert Greene,"Brandy Burre,Michael Tomlinson",5537,5487
Dawn Porter,,5538,5488
Gabe Polsky,"Viacheslav Fetisov,Scotty Bowman,Mark Deakins",5539,5489
Rachel Boynton,,5540,5490
Johanna Hamilton,"Rich Graff,Lauren A. Kennedy,Dennis Brito",5541,5491
Robert Kenner,"Frederick Singer,Naomi Oreskes,Jamy Ian Swiss",5542,5492
Nick Broomfield,"Pam Brooks,Nick Broomfield,Lonnie David Franklin Jr.",5543,5493
"Chris Hegedus,D.A. Pennebaker","James Carville,George Stephanopoulos,Heather Beckel",5544,5494
Erin Lee Carr,"Gary Allen,Violet Blue,James A. Cohen",5545,5495
Steven Soderbergh,"Channing Tatum,Alex Pettyfer,Olivia Munn",5546,5496
William H. Macy,"Billy Crudup,Anton Yelchin,Felicity Huffman",5547,5497
Dito Montiel,"Robin Williams,Roberto Aguire,Kathy Baker",5548,5498
Sean McNamara,"George Lopez,Jamie Lee Curtis,Carlos PenaVega",5549,5499
Alejandro Monteverde,"Jakob Salvati,Emily Watson,David Henrie",5550,5500
Kris Swanberg,"Cobie Smulders,Anders Holm,Gail Bean",5551,5501
Chris Evans,"Chris Evans,Alice Eve,Emma Fitzpatrick",5552,5502
Matthew Heineman,Robert Hetrick,5553,5503
Sean Byrne,"Shiri Appleby,Kiara Glasco,Deborah Abbott",5554,5504
"Roxanne Benjamin,David Bruckner","Kate Beahan,Matt Bettinelli-Olpin,Susan Burke",5555,5505
Ciarán Foy,"James Ransone,Shannyn Sossamon,Robert Daniel Sloan",5556,5506
Josh Schwartz,"Victoria Justice,Johnny Knoxville,Chelsea Handler",5557,5507
Jamie Babbit,"Judy Greer,Natasha Lyonne,Malcolm Barrett",5558,5508
Michael Doneger,"Michael Doneger,Amanda Brooks,Wes Chatham",5559,5509
Lulu Wang,"Jack Huston,Brit Marling,Alexander Fehling",5560,5510
Hannah Fidell,"Lindsay Burdge,Will Brittain,Jennifer Prediger",5561,5511
Jason Reitman,"Kaitlyn Dever,Rosemarie DeWitt,Ansel Elgort",5562,5512
David Wain,"Paul Rudd,Amy Poehler,Bill Hader",5563,5513
Justin Simien,"Tyler James Williams,Tessa Thompson,Kyle Gallner",5564,5514
Ari Sandel,"Mae Whitman,Bella Thorne,Robbie Amell",5565,5515
Rob Marshall,"Anna Kendrick,Meryl Streep,Chris Pine",5566,5516
Chris Messina,"Mary Elizabeth Winstead,Chris Messina,Don Johnson",5567,5517
Max Mayer,"Sarah Bolger,Thomas Mann,James Marsden",5568,5518
Sofia Coppola,"Kirsten Dunst,Josh Hartnett,James Woods",5569,5519
Ross Katz,"Nick Kroll,Rose Byrne,Bobby Cannavale",5570,5520
Sam Esmail,"Justin Long,Emmy Rossum,Kayla Servi",5571,5521
Wych Kaosayananda,"Antonio Banderas,Lucy Liu,Talisa Soto",5572,5522
George Sidney,"Stewart Granger,Janet Leigh,Eleanor Parker",5573,5523
Richard Quine,"Peter Sellers,Lynne Frederick,Lionel Jeffries",5574,5524
"Compton Bennett,Andrew Marton","Deborah Kerr,Stewart Granger,Richard Carlson",5575,5525
"Hugh Ford,Edwin S. Porter","James K. Hackett,Beatrice Beckley,David Torrence",5576,5526
Daniel Mann,"Susan Hayward,Richard Conte,Eddie Albert",5577,5527
Frank Lloyd,"Ronald Colman,Basil Rathbone,Frances Dee",5578,5528
Gregory Ratoff,"Douglas Fairbanks Jr.,Ruth Warrick,Akim Tamiroff",5579,5529
Max Ophüls,"Douglas Fairbanks Jr.,Maria Montez,Rita Corday",5580,5530
"Jack Conway,Robert Z. Leonard","Ronald Colman,Elizabeth Allan,Edna May Oliver",5581,5531
Mervyn LeRoy,"Ronald Colman,Greer Garson,Philip Dorn",5582,5532
Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Matthew Goode",5583,5533
David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",5584,5534
Alejandro González Iñárritu,"Michael Keaton,Zach Galifianakis,Edward Norton",5585,5535
Scott Frank,"Liam Neeson,Dan Stevens,David Harbour",5586,5536
Jaume Collet-Serra,"Liam Neeson,Ed Harris,Joel Kinnaman",5587,5537
John Singleton,"Mark Wahlberg,Tyrese Gibson,Garrett Hedlund",5588,5538
Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Carla Gugino",5589,5539
Alfonso Cuarón,"Julianne Moore,Clive Owen,Chiwetel Ejiofor",5590,5540
Scott Stewart,"Paul Bettany,Cam Gigandet,Maggie Q",5591,5541
David Slade,"Josh Hartnett,Melissa George,Danny Huston",5592,5542
Scott Stewart,"Paul Bettany,Dennis Quaid,Charles S. Dutton",5593,5543
Peter Howitt,"Gwyneth Paltrow,John Hannah,John Lynch",5594,5544
Bradley King,"Danielle Panabaker,Matt O'Leary,George Finn",5595,5545
Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",5596,5546
Neill Blomkamp,"Sharlto Copley,Dev Patel,Hugh Jackman",5597,5547
"Andy Wachowski,Lana Wachowski","Channing Tatum,Mila Kunis,Eddie Redmayne",5598,5548
R.J. Cutler,"Chloë Grace Moretz,Mireille Enos,Jamie Blackley",5599,5549
"Steve Loter,Lisa Schaffer","Michael T. Weiss,Olivia d'Abo,Jeff Bennett",5600,5550
"Gary Katona,Ed Wexler","Jim Cummings,Peter Cullen,John Fiedler",5601,5551
Alan Shapiro,"Paul Hogan,Elijah Wood,Jonathan Banks",5602,5552
John Gray,"Wil Horneff,Helen Shaver,Jean Marie Barnwell",5603,5553
Joe Camp,"Red Steagall,Frank Inn,Benjean",5604,5554
Xavier Koller,"Adam Beach,Mandy Patinkin,Sheldon Peters Wolfchild",5605,5555
Timothy Björklund,"Nathan Lane,Shaun Fleming,David Ogden Stiers",5606,5556
Mikael Salomon,"Reese Witherspoon,Ethan Embry,Jack Thompson",5607,5557
Vincent McEveety,"Jenny Agutter,Barry Newman,Kathleen Nolan",5608,5558
Russ Mayberry,"Dennis Dugan,Jim Dale,Ron Moody",5609,5559
Stewart Raffill,"Christine Ebersole,Jonathan Ward,Tina Caspary",5610,5560
Henry Winkler,"Burt Reynolds,Norman D. Golden II,Ruby Dee",5611,5561
John Cassavetes,"Peter Falk,Alan Arkin,Beverly D'Angelo",5612,5562
Steven Hilliard Stern,"Elliott Gould,Bill Cosby,Susan Anspach",5613,5563
John G. Avildsen,"John Belushi,Dan Aykroyd,Kathryn Walker",5614,5564
Jeremiah S. Chechik,"Patrick Swayze,Oliver Platt,Roger Aaron Brown",5615,5565
Stephen Sommers,"Jason Scott Lee,Cary Elwes,Lena Headey",5616,5566
James Lapine,"Michael J. Fox,Christina Vidal,Nathan Lane",5617,5567
Tim Hill,"Alex D. Linz,Larry Miller,Jamie Kennedy",5618,5568
"Mike Nawrocki,Phil Vischer","Phil Vischer,Mike Nawrocki,Tim Hodge",5619,5569
Frederick King Keller,"Ruth Ford,Martha Byrne,Guy Boyd",5620,5570
Anthony Stabley,"Elisabeth Röhm,Bai Ling,Michael Massee",5621,5571
Guy Ferland,"Diego Luna,Romola Garai,Sela Ward",5622,5572
Jeannot Szwarc,"Christopher Reeve,Jane Seymour,Christopher Plummer",5623,5573
Michael Tuchner,"Joan Plowright,Cherie Lunghi,Aled Roberts",5624,5574
Tony Goldwyn,"Ashley Judd,Greg Kinnear,Hugh Jackman",5625,5575
"Richard Glatzer,Wash Westmoreland","Julianne Moore,Alec Baldwin,Kristen Stewart",5626,5576
"Richard Boleslawski,Allan Dwan","Stan Laurel,Oliver Hardy,Jimmy Durante",5627,5577
"Chuck Jones,Abe Levitow","Butch Patrick,Hans Conried,Mel Blanc",5628,5578
Don Weis,"Patty Duke,Jim Backus,Jane Greer",5629,5579
David Butler,"Shirley Temple,John Boles,Jack Holt",5630,5580
David Butler,"Shirley Temple,Guy Kibbee,Slim Summerville",5631,5581
Allan Dwan,"Shirley Temple,Randolph Scott,Jack Haley",5632,5582
William A. Seiter,"Shirley Temple,Frank Morgan,Robert Kent",5633,5583
Hamilton MacFadden,"Warner Baxter,Madge Evans,James Dunn",5634,5584
John S. Robertson,"Shirley Temple,Rosemary Ames,Joel McCrea",5635,5585
Robert Butler,"Kurt Russell,Joe Flynn,Harry Morgan",5636,5586
Norman Tokar,"David Niven,Darren McGavin,Don Knotts",5637,5587
Ken Olin,"Scott Bairstow,Charmaine Craig,Al Harrington",5638,5588
Fraser Clarke Heston,"Thora Birch,Vincent Kartheiser,Dirk Benedict",5639,5589
James Neilson,"Fred MacMurray,Jane Wyman,Michael Callan",5640,5590
Phillip Borsos,"Jesse Bradford,Mimi Rogers,Bruce Davison",5641,5591
Craig Clyde,"Gordon Jump,Anne Lockhart,David Bowe",5642,5592
Richard Linklater,"Ellar Coltrane,Patricia Arquette,Ethan Hawke",5643,5593
Joe Camp,"Patsy Garrett,Benjean,Art Vasil",5644,5594
Joe Camp,"Peter Breck,Deborah Walley,Patsy Garrett",5645,5595
Ava DuVernay,"David Oyelowo,Carmen Ejogo,Tim Roth",5646,5596
Craig Clyde,"Bo Hopkins,Robert Z'Dar,David 'Shark' Fralick",5647,5597
Craig Clyde,"Alana Austin,Roger Velasco,Pamela Bach-Hasselhoff",5648,5598
Craig Clyde,"Mel Harris,Matt McCoy,Raeanin Simpson",5649,5599
James W. Roberson,"Richard Kiel,Cloris Leachman,Lynne Seus",5650,5600
Barry Levinson,"Robin Williams,Forest Whitaker,Tung Thanh Tran",5651,5601
Penny Marshall,"Robert De Niro,Robin Williams,Julie Kavner",5652,5602
"Winrich Kolbe,James D. Parriott","Jon-Erik Hexum,Meeno Peluce,Suzanne Barnes",5653,5603
Don Taylor,"Johnny Whitaker,Celeste Holm,Warren Oates",5654,5604
Richard Thorpe,"Mickey Rooney,Walter Connolly,William Frawley",5655,5605
Michael Curtiz,"Tony Randall,Eddie Hodges,Archie Moore",5656,5606
William Beaudine,"June Lockhart,Hugh Reilly,Jon Provost",5657,5607
Daniel Petrie,"Helen Slater,Tom Guiry,Jon Tenney",5658,5608
Jonathan Demme,"Meryl Streep,Kevin Kline,Mamie Gummer",5659,5609
François Girard,"Dustin Hoffman,Kevin McHale,Josh Lucas",5660,5610
Chris Dowling,"Kristoffer Polaha,David DeSanctis,Danica McKellar",5661,5611
Edward Dmytryk,"George Peppard,Alan Ladd,Carroll Baker",5662,5612
"Russ Meyer,Albert Zugsmith","Miriam Hopkins,Alexander D'Arcy,Walter Giller",5663,5613
Charles Jarrott,"Elliott Gould,Geneviève Bujold,Ricky Schroder",5664,5614
Anton Corbijn,"Robert Pattinson,Peter Lucas,Lauren Gallagher",5665,5615
Herman Hoffman,"Richard Eyer,Philip Abbott,Diane Brewster",5666,5616
Gore Verbinski,"Nathan Lane,Lee Evans,Vicki Lewis",5667,5617
Jim Jarmusch,"Bill Murray,Jessica Lange,Sharon Stone",5668,5618
Tamara Jenkins,"Laura Linney,Philip Seymour Hoffman,Philip Bosco",5669,5619
Noah Baumbach,"Nicole Kidman,Jennifer Jason Leigh,Flora Cross",5670,5620
Wes Anderson,"Bill Murray,Owen Wilson,Anjelica Huston",5671,5621
Wes Anderson,"Jason Schwartzman,Bill Murray,Olivia Williams",5672,5622
Peter H. Hunt,"William Daniels,Howard Da Silva,Ken Howard",5673,5623
Norman Tokar,"Dean Jones,Diane Baker,Lloyd Bochner",5674,5624
Arthur Lubin,"Don Knotts,Carole Cook,Jack Weston",5675,5625
Phil Roman,"Richard Kind,Dana Hill,Anndi McAfee",5676,5626
Charles Barton,"Bud Abbott,Lou Costello,Tom Brown",5677,5627
Charles Barton,"Bud Abbott,Lou Costello,Marjorie Main",5678,5628
Will Canon,"Maria Bello,Frank Grillo,Cody Horn",5679,5629
Melville Shavelson,"Bob Hope,Milly Vitale,George Tobias",5680,5630
Charles Vidor,"Danny Kaye,Farley Granger,Zizi Jeanmaire",5681,5631
"David Swift (II),David Swift","Jane Wyman,Hayley Mills,Richard Egan",5682,5632
Gil Kenan,"Sam Rockwell,Rosemarie DeWitt,Kennedi Clements",5683,5633
Arthur Lubin,"Donald O'Connor,Patricia Medina,Zasu Pitts",5684,5634
Victor Saville,"Errol Flynn,Dean Stockwell,Paul Lukas",5685,5635
"Ford Beebe,Saul A. Goodkind","Buster Crabbe,Constance Moore,Jackie Moran",5686,5636
Richard Thorpe,"Johnny Weissmuller,Maureen O'Sullivan,Johnny Sheffield",5687,5637
James Wan,"Patrick Wilson,Rose Byrne,Barbara Hershey",5688,5638
Charles Sturridge,"Paul McGann,Florence Hoath,Elizabeth Earl",5689,5639
